month,name,quantity,net_sales
january,brunch,325,32400.99
january,dinner,4008,337248.98
january,lunch,1135,71078.84
february,brunch,254,23042.95
february,dinner,3790,302398.01
february,lunch,986,64697.12
march,brunch,338,29647.2
march,dinner,4087,330072.55
march,lunch,1056,69280.83
april,brunch,282,27614.92
april,dinner,3938,318226.66
april,lunch,943,63920.87
may,brunch,341,37946.41
may,dinner,4003,345141.99
may,lunch,978,74387.8
june,brunch,328,36626.54
june,dinner,3965,332294.96
june,lunch,967,74953.73
july,brunch,379,30912.24
july,dinner,3764,292693.36
july,lunch,884,63016.16
august,brunch,298,30744.17
august,dinner,3934,294551.11
august,lunch,948,66510.41
