discount,quantity,total
Anniversary,1,-9
Birthday,43,-390
Didn't Like Food,33,-444.5
Email Join Appetizer,2,-28
Email TY Appetizer,3,-40
Employee 50%,248,-1945.07
FREE Dessert APP,11,-99
FREE Lunch APP,9,-135
FREE Pretzel Coupon,17,-214.5
Food Quality,5,-73.25
Free Appetizer,3,-46
Free Dessert Coupon,1,-9
Happy Hour $1 Off,36,-36
Happy Hour 50%,50,-366
Kitchen Mistake,3,-68.25
Mug Club Wine,6,-27
Open Discount,17,-174
Server Forgot,1,-15
Server Mis-ring,6,-93
Total,495,-4212.57
