discount,quantity,total
Anniversary,1,-9
Birthday,8,-72
CBAA Discount,7,-20.65
Didn't Like Food,11,-126
Email %,4,-42
Employee 50%,296,-2246.41
FREE Dessert APP,5,-75
FREE Pretzel APP,1,-13
FREE Pretzel Coupon,6,-78
Food Quality,14,-211
Free Appetizer,3,-44
Free Dessert Coupon,2,-16
Happy Hour $1 Off,18,-18
Happy Hour 50%,17,-127
Karate School,1,-9
Kitchen Mistake,3,-29
Kitchen Took Too Long,3,-24.5
Mug Club Wine,9,-39.3
Open Discount,26,-207
Server Forgot,1,-27
Server Mis-ring,10,-103.25
Total,446,-3537.11
