discount,quantity,total
Anniversary,3,-30
Birthday,49,-478
Didn't Like Food,32,-451.5
Email Champagne,4,-42
Email Dessert,1,-10
Email TY Dining,3,-42
Email TY Joining,10,-143
Employee 50%,215,-1650.5
FREE Dessert APP,1,-14
FREE Pretzel Coupon,12,-156
Food Quality,9,-184
Gymnastics Card,2,-5.1
Happy Hour $1 Off,20,-20
Happy Hour 50%,16,-113.5
Karate School,1,-10
Kitchen Mistake,3,-51
Kitchen Took Too Long,1,-8
Mug Club Wine,8,-36.45
Open Discount,46,-492.3
Server Mis-ring,8,-182.5
Total,444,-4119.85
