discount,quantity,total
Anniversary,1,-12
Birthday,34,-308
Didn't Like Food,24,-405
Email Champagne,8,-82
Email Join Appetizer,4,-48
Email TY Appetizer,6,-88
Employee 50%,263,-2063.19
FREE Dessert APP,1,-9
FREE Lunch APP,7,-115
FREE Pretzel Coupon,10,-130
Food Quality,2,-34
Free Appetizer,2,-30
Happy Hour $1 Off,28,-28
Happy Hour 50%,24,-166.5
Kitchen Took Too Long,1,-21
Mug Club Wine,16,-70.35
Open Discount,14,-99.5
Server Forgot,5,-50
Server Mis-ring,7,-109.5
Total,457,-3869.04
