discount,quantity,total
Anniversary,1,-10
Birthday,40,-397
CBAA Discount,3,-15.8
Didn't Like Food,23,-339
Email Champagne,4,-34
Email Dessert,3,-30
Email TY Dining,2,-28
Email TY Joining,7,-97
Employee 50%,268,-2064.75
FREE Dessert Coupon,8,-75
FREE Pretzel Coupon,17,-214.5
FREE Pretzel Scratch,1,-13
Food Quality,11,-201.25
Happy Hour $1 Off,17,-17
Happy Hour 50%,12,-88
Kids Eat FREE Coupon,2,-19
Kitchen Mistake,1,-26
Mug Club Wine,12,-53.85
Open Discount,17,-284.5
Server Forgot,3,-30
Server Mis-ring,12,-172.5
Total,464,-4210.15
