discount,quantity,total
Anniversary,5,-48
Birthday,41,-381
CBAA Discount,18,-61.05
Didn't Like Food,20,-235.65
Email Champagne,2,-20
Email Dessert,3,-28
Email TY Joining,8,-118
Employee 50%,250,-1878.4
FREE Dessert APP,3,-29
FREE Pretzel Coupon,8,-104
Food Quality,9,-129
Happy Hour $1 Off,31,-31
Happy Hour 50%,33,-243.5
Kids Eat FREE Coupon,6,-54
Kitchen Mistake,1,-15
Kitchen Took Too Long,2,-28
Mug Club Wine,17,-76.35
Open Discount,13,-97.5
Server Mis-ring,9,-169.5
Total,479,-3746.95
