hour,quantity,seats,guests,net_sales,percent
9:00 am,3,0,2,11,0
10:00 am,55,0,117,4682.24,0.0101
11:00 am,117,7,353,11069.6,0.024
12:00 pm,258,39,570,18625.2,0.0403
1:00 pm,469,108,1191,33740.28,0.0731
2:00 pm,449,96,1342,43385.93,0.094
3:00 pm,322,39,914,31681.09,0.0686
4:00 pm,293,24,516,22507.69,0.0487
5:00 pm,576,56,1073,37799.06,0.0819
6:00 pm,759,137,1825,60980.29,0.1321
7:00 pm,842,211,2066,80883.42,0.1752
8:00 pm,768,128,1940,77606.16,0.1681
9:00 pm,476,60,836,31960.48,0.0692
10:00 pm,180,4,237,6349.14,0.0137
11:00 pm,17,0,17,475,0.001
Total,5584,909,12999,461756.58,1
