item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$2 Appetizer (Per Piece),,BANQUETS,150,240.5,300,,,
$20 Bar Package,,BANQUETS,169,3119.03,3380,,,
$20 Lunch Ala Carte,,BANQUETS,237,3528.75,4740,,,
$23 Lunch Buffet,,BANQUETS,691,12834.01,15893,,,
$28 Lunch Buffet,,BANQUETS,188,4758.28,5264,,,
$35 Dinner Ala Carte,,BANQUETS,213,6930.92,7455,,,
$4 Champagne Toast,,BANQUETS,12,48,48,,,
1800,Shot,LIQUOR,5,37.5,37.5,,,
1800,Mix,LIQUOR,3,28.64,33,,,
2 Room Suite,,HOTEL ROOMS,11,2255,2255,,,
Absolut,DBL,LIQUOR,11,100,100,20.9,79.1,79.1
Absolut,Martini,LIQUOR,11,157.5,157.5,33,124.5,124.5
Absolut,Mix,LIQUOR,23,167.5,174.5,34.5,133,140
Absolut Citron,Martini,LIQUOR,93,1211.09,1292.5,,,
Absolut Citron,Mix,LIQUOR,3,22.5,22.5,,,
Adult Brunch,,FOOD,910,21513.43,21840,,,
Adult Grilled Cheese,,FOOD,12,108.5,137,,,
Adult Pasta,,FOOD,21,223.47,318,,,
Adult Ravioli,,FOOD,4,60,60,,,
Amaretto Di Sarona,RX,LIQUOR,1,11,11,2.4,8.6,8.6
Amaretto Di Sarona,Mix,LIQUOR,3,25.5,25.5,4.5,21,21
Amaretto Di Sarona,Shot,LIQUOR,2,16,16,1.6,14.4,14.4
Amaro-Averno,,LIQUOR,1,9,9,,,
Apple Crisp,,FOOD,131,1038.41,1048,,,
Apple Juice,,BEVERAGES,31,94.97,96.1,,,
Apricot Brandy,Mix,LIQUOR,1,6,6,,,
Apricot Brandy,DBL,LIQUOR,1,7,7,,,
B&B,RX,LIQUOR,2,23.81,26,,,
BLT,,FOOD,4,41,48,,,
Bacardi Rum,Mix,LIQUOR,84,590.08,619,,,
Bacardi Rum,RX,LIQUOR,4,33,36,,,
Bacardi Rum,DBL,LIQUOR,6,48,48,,,
Bailey's,Shot,LIQUOR,3,19.5,19.5,2.4,17.1,17.1
Bailey's,RX,LIQUOR,2,18,18,4.8,13.2,13.2
Bailey's,Mix,LIQUOR,2,14,14,3,11,11
Bailey's,DBL,LIQUOR,1,7.5,7.5,1.9,5.6,5.6
Baked Potato,,FOOD,687,2.5,2.5,,,
Bay Fries,,FOOD,5,27.34,30,,,
Beefeater Gin,Martini,LIQUOR,8,111,113,,,
Beefeater Gin,RX,LIQUOR,2,24,24,,,
Beefeater Gin,Mix,LIQUOR,10,80,80,,,
Beer Sample,,DFT BEER,27,0,0,,,
Bikini Martini,,LIQUOR,115,883.2,920,,,
Bison Burger,,FOOD,26,319.36,374.75,,,
Black Berry Brandy,Mix,LIQUOR,3,18,18,,,
Bombay Saphire,Mix,LIQUOR,27,236.02,243,,,
Bombay Saphire,RX,LIQUOR,2,28,28,,,
Bombay Saphire,Shot,LIQUOR,1,8,8,,,
Bombay Saphire,Martini,LIQUOR,4,59,61,,,
Boom Boom Shrimp,,FOOD,415,4941.61,5893,,,
Boylan's Root Beer,,BEVERAGES,1,3.75,3.75,1.21,2.54,2.54
Bread Pudding,,FOOD,71,566.88,570,,,
Brownie Sundae,,FOOD,113,879.51,904,,,
Brunch Bloody,,LIQUOR,131,519.53,524,,,
Brunch Mimosa,,GLASS WINE,279,1112.61,1116,,,
Btl 101 Biutiful,,BOTTLE WINE,7,233.35,252,,,
Btl 103 Jacoby,,BOTTLE WINE,1,30,30,,,
Btl 106 Kaleu Chard,,BOTTLE WINE,1,27,27,,,
Btl 107 Montoya,,BOTTLE WINE,13,468,468,,,
Btl 108 Ventana,,BOTTLE WINE,1,36,36,,,
Btl 109 Kuranui,,BOTTLE WINE,8,264,264,,,
Btl 111 Avia,,BOTTLE WINE,11,280.1,297,,,
Btl 201 Joliesse,,BOTTLE WINE,2,66,66,,,
Btl 202 Iris,,BOTTLE WINE,2,90,90,,,
Btl 203 Bogel,,BOTTLE WINE,2,54,54,,,
Btl 204 Prime Cut,,BOTTLE WINE,3,108,108,,,
Btl 205 Kaleu,,BOTTLE WINE,6,162,162,,,
Btl 206 Water Brook,,BOTTLE WINE,7,273,273,,,
Btl 207 Liberty,,BOTTLE WINE,2,80,80,,,
Btl 208 Camina,,BOTTLE WINE,1,27,27,,,
Btl 209 Pessimist,,BOTTLE WINE,1,35,35,,,
Btl 210 Argento,,BOTTLE WINE,2,72,72,,,
Btl 211 Aviary,,BOTTLE WINE,2,84,84,,,
Btl 212 Bruni Super,,BOTTLE WINE,1,45,45,,,
Btl Corona,,BTL BEER,34,230.92,238,,,
Btl Estrella,,BTL BEER,91,430.5,500.5,,,
Btl Franziskaner,,BTL BEER,25,185.6,187.5,,,
Btl Michelob Ultra,,BTL BEER,228,1299.77,1368,259.92,1039.85,1108.08
Btl Miller Lite,,BTL BEER,483,2574.27,2656.5,,,
Btl Ommegang,,BTL BEER,49,384,392,,,
Btl Stella,,BTL BEER,16,93.05,96,,,
Btl Stella N/A,,BTL BEER,33,205.71,231,,,
Btl Troegs,,BTL BEER,36,236.08,243,,,
Btl Victory,,BTL BEER,29,255,261,,,
Btl Yuengling,,BTL BEER,17,85,85,,,
Buffalo Chicken Sandwich,,FOOD,1,15,15,,,
Bulleit Bourbon,DBL,LIQUOR,11,132,132,,,
Bulleit Bourbon,RX,LIQUOR,28,447,448,,,
Bulleit Bourbon,Manhattan,LIQUOR,8,152,152,,,
Bulleit Bourbon,Mix,LIQUOR,1,10,10,,,
Bulleit Rye,Manhattan,LIQUOR,6,105.5,108,27.24,78.26,80.76
Bulleit Rye,RX,LIQUOR,7,110,112,26.04,83.96,85.96
Bushmills,Shot,LIQUOR,1,7,7,,,
Bushmills,RX,LIQUOR,1,11,11,,,
Bushmills,DBL,LIQUOR,2,19,19,,,
Caesar Salad,,FOOD,209,3428,3574.5,,,
Cafe Foster,,LIQUOR,1,8,8,,,
Cafe vanilla,,LIQUOR,3,24,24,,,
Can Downeast,,BTL BEER,90,660.3,675,135,525.3,540
Can High Noon Black Cherry,,BTL BEER,39,301,312,96.72,204.28,215.28
Can High Noon Grapefruit,,BTL BEER,22,176,176,54.56,121.44,121.44
Can High Noon Pineapple,,BTL BEER,25,197,200,62,135,138
Can High Noon Watermelon,,BTL BEER,18,144,144,44.64,99.36,99.36
Can Lancaster,,BTL BEER,23,166.2,172.5,,,
Can Sweet Water,,BTL BEER,55,380,385,,,
Canadian Club,Manhattan,LIQUOR,1,10,10,2.95,7.05,7.05
Canadian Club,RX,LIQUOR,3,24.5,25.5,7.29,17.21,18.21
Canadian Club,Mix,LIQUOR,1,5.36,6.25,1.5,3.86,4.75
Cappucino,,BEVERAGES,51,298.92,306,22.95,275.97,283.05
Captain Morgan,Mix,LIQUOR,89,548.01,600.75,,,
Captain Morgan,DBL,LIQUOR,37,269.39,296,,,
Casamigos,Mix,LIQUOR,18,303,303,,,
Casamigos,RX,LIQUOR,1,23,23,,,
Casamigos,Shot,LIQUOR,20,244.05,250,,,
Champ Bomb,,LIQUOR,26,156,156,,,
Cheese Platter,,BANQUETS,3,150.4,180,,,
Cheesecake du Jour,,FOOD,114,995.46,1028,,,
Cherry Vodka,DBL,LIQUOR,3,24.75,24.75,,,
Cherry Vodka,Mix,LIQUOR,4,21,28,,,
Chicken Baltimore,,FOOD,4,54,107,,,
Chicken Burger,,FOOD,84,1069.19,1245,,,
Chicken Cutlet Club,,FOOD,10,140.39,142,,,
Chicken Finger,,FOOD,45,347.73,450,,,
Chicken Marsala,,FOOD,6,106.54,109,,,
Chicken Parm Family Platter,,FOOD,17,766,766,,,
Chicken Parmesan Sandwich,,FOOD,12,146.93,168,,,
Chicken Parmigiana,,FOOD,349,6458.91,6635,,,
Chicken Pot Pie,,FOOD,380,5981.56,6080,,,
Chicken Salad Pita,,FOOD,264,3874.24,3964.5,,,
Chickpea Wrap,,FOOD,41,560.06,576,,,
Chili,Cup,FOOD,49,294,294,294,0,0
Chili,Bowl,FOOD,15,112,120,120,-8,0
