item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,,69,779.8,828,,,
$15 Pasta Station,,BANQUETS,,38,510.55,570,,,
$20 Bar Package,,BANQUETS,,128,2340.23,2560,,,
$22 Ala Carte,,BANQUETS,,285,5260.1,6270,,,
$25 Buffet,,BANQUETS,,357,7541.23,8925,,,
$27 Ala Carte,,BANQUETS,,15,317.62,405,,,
$28 Buffet,,BANQUETS,,30,655.07,840,,,
$3 Appetizer,,BANQUETS,,70,210,210,,,
$30 Buffet,,BANQUETS,,164,4309.5,4920,,,
$37 Ala Carte,,BANQUETS,,26,829.72,962,,,
$4 Appetizer,,BANQUETS,,30,120,120,,,
$4 Champagne Toast,,BANQUETS,,49,176.24,196,,,
$4 Ultra,,DFT BEER,,6,23,24,,,
$40 Ala Carte,,BANQUETS,,29,960.53,1160,,,
$45 Buffet,,BANQUETS,,185,7756.97,8325,,,
$5 Mailing FEE,,GIFT CARD,,1,5,5,,,
0 Proof Tequila,,BEVERAGES,,2,16,16,2.7,13.3,13.3
2 Room Suite,,HOTEL ROOMS,,2,287,410,,,
Absolut Citron,Martini,LIQUOR,,42,593.01,626,,,
Absolut Citron,Mix,LIQUOR,,3,16,24,,,
Absolut Citron,Shot,LIQUOR,,5,35,35,,,
Adult Brunch,,FOOD,,1158,26843.2,27792,,,
Adult Grilled Cheese,,FOOD,,1,0,13,,,
Adult Hot Choc,,LIQUOR,,9,86.86,90,,,
Adult Pasta,,FOOD,,23,271.6,407,,,
Ala Vodka,Full,BANQUETS,,1,60,80,,,
Amaretto,Mix,LIQUOR,,2,10.29,13,3,7.29,10
Amaretto Di Sarona,Mix,LIQUOR,,1,9.02,10,1.5,7.52,8.5
Amaretto Di Sarona,DBL,LIQUOR,,2,21.97,24,3.8,18.17,20.2
Amaretto Di Sarona,Shot,LIQUOR,,1,9,9,0.8,8.2,8.2
Amaro-Averno,,LIQUOR,,2,24,24,,,
Antipasto,,BANQUETS,,6,442.89,480,,,
Aperol Spritz,,LIQUOR,,24,228.25,240,,,
Apple Crisp,,FOOD,,166,1408.73,1494,,,
Apple Juice,,BEVERAGES,,26,84.5,84.5,,,
Apricot Sour,,LIQUOR,,1,6,6,,,
Assorted Clubs,Half,BANQUETS,,1,80,80,,,
Assorted Wraps,Half,BANQUETS,,1,70,70,,,
B&B,RX,LIQUOR,,3,49.53,51,,,
B&W Lava Cake,,FOOD,,73,629.16,657,,,
BLT,,FOOD,,9,117,117,,,
BNI,,FOOD,,362,4807.36,4807.36,,,
Bacardi Rum,Mug Dbl,LIQUOR,,50,334.09,350,,,
Bacardi Rum,Mix,LIQUOR,,36,269.07,285,,,
Bacardi Rum,DBL,LIQUOR,,3,23,24,,,
Bad Santa,,LIQUOR,,135,1303.66,1350,,,
Bah Rumbug,,LIQUOR,,82,872.3,902,,,
Bailey's,Mix,LIQUOR,,9,75.84,81,13.5,62.34,67.5
Bailey's,DBL,LIQUOR,,3,32.2,33,5.7,26.5,27.3
Bailey's,Shot,LIQUOR,,2,16,16,1.6,14.4,14.4
Bailey's,RX,LIQUOR,,3,38,39,7.2,30.8,31.8
Baked Potato,,FOOD,,601,6.5,6.5,,,
Baked Ziti,Half,BANQUETS,,1,55,55,,,
Basil Hayden,RX,LIQUOR,,31,605.8,620,,,
Basil Hayden,Manhattan,LIQUOR,,1,18.89,23,,,
Basil Hayden,DBL,LIQUOR,,2,32,32,,,
Bay Fries,,FOOD,,2,10.5,14,,,
Beer Sample,,DFT BEER,,14,0,0,,,
Black Berry Brandy,RX,LIQUOR,,3,18.78,24,,,
Black Berry Brandy,Shot,LIQUOR,,1,5.5,5.5,,,
Blitzen,,LIQUOR,,199,1924.57,1990,,,
Bombay Saphire,Mix,LIQUOR,,40,381.96,400,,,
Bombay Saphire,Mug Dbl,LIQUOR,,1,10,11,,,
Bombay Saphire,RX,LIQUOR,,1,16,16,,,
Bombay Saphire,Martini,LIQUOR,,11,181.4,191,,,
Bombay Saphire,DBL,LIQUOR,,1,11,12,,,
Boneless Wings,Full,BANQUETS,,1,70,70,,,
Boom Boom Shrimp,,FOOD,,408,5222.05,6538,1982.88,3239.17,4555.12
Brandy Alexander,,LIQUOR,,1,7,7,,,
Bread Pudding,,FOOD,,114,951.9,1030,,,
Brownie Sundae,,FOOD,,135,1074.76,1215,,,
Brunch Bloody,,LIQUOR,,129,488.74,516,,,
Brunch Mimosa,,GLASS WINE,,218,845.14,872,,,
Btl Blue Moon,,BTL BEER,,107,682.88,749,161.57,521.31,587.43
Btl Canyon Oaks Chard,,BOTTLE WINE,,11,286.89,308,87.67,199.22,220.33
Btl Cardif Cab,,BOTTLE WINE,,11,308,308,91.19,216.81,216.81
Btl Corona,,BTL BEER,,82,480.5,574,,,
Btl Corona Premier,,BTL BEER,,42,279.93,294,,,
Btl Flower,,BTL BEER,,73,359.34,511,126.29,233.05,384.71
Btl Hoegarden,,BTL BEER,,1,6.78,7,,,
Btl Michelob Ultra,,BTL BEER,,155,892.53,930,176.7,715.83,753.3
Btl Miller Lite,,BTL BEER,,485,2564.38,2912,620.8,1943.58,2291.2
Btl Muir Wood Chard,,BOTTLE WINE,,5,141.75,160,60,81.75,100
Btl Peltier,,BOTTLE WINE,,15,476.22,480,180,296.22,300
Btl Pinot Grigo,,BOTTLE WINE,,16,453.77,480,192,261.77,288
Btl Pinot Noir,,BOTTLE WINE,,8,226.9,240,80.72,146.18,159.28
Btl Red Blend,,BOTTLE WINE,,3,90,90,33,57,57
Btl Riesling,,BOTTLE WINE,,6,164.7,168,52.26,112.44,115.74
Btl Rose,,BOTTLE WINE,,9,248.19,261,110.61,137.58,150.39
Btl Sam Adams,,BTL BEER,,29,192.91,203,44.08,148.83,158.92
Btl Sav Blanc,,BOTTLE WINE,,13,337.46,364,117,220.46,247
Btl Stella,,BTL BEER,,1,5.81,6,,,
Btl Stella N/A,,BTL BEER,,50,316.54,351,74.5,242.04,276.5
Btl Yuengling,,BTL BEER,,1,6,6,1.26,4.74,4.74
Buffalo Chicken Sandwich,,FOOD,,6,60.37,90,,,
Bulleit Bourbon,Mix,LIQUOR,,12,131.78,134,,,
Bulleit Bourbon,Manhattan,LIQUOR,,9,179,180,,,
Bulleit Bourbon,RX,LIQUOR,,31,523.67,529,,,
Bulleit Bourbon,DBL,LIQUOR,,2,19.88,24,,,
Bulleit Rye,Mix,LIQUOR,,1,11,11,2.16,8.84,8.84
Bulleit Rye,Manhattan,LIQUOR,,3,60,60,13.62,46.38,46.38
Bulleit Rye,RX,LIQUOR,,2,34,34,7.44,26.56,26.56
Bushmills,DBL,LIQUOR,,1,9.5,9.5,,,
Caesar Salad,,FOOD,,254,4672.86,4870,1005.84,3667.02,3864.16
Can Downeast,,BTL BEER,,57,445.04,456,101.46,343.58,354.54
Can Downeast Flavor,,BTL BEER,,17,132.93,140.25,30.26,102.67,109.99
Can High Noon Black Cherry,,BTL BEER,,23,222.18,230,69.23,152.95,160.77
Can High Noon Grapefruit,,BTL BEER,,18,156.22,180,54.18,102.04,125.82
Can High Noon Pineapple,,BTL BEER,,18,167.04,180,54.18,112.86,125.82
Can High Noon Watermelon,,BTL BEER,,26,253.02,260,78.26,174.76,181.74
Canadian Club,Manhattan,LIQUOR,,2,20,20,5.9,14.1,14.1
Canadian Club,RX,LIQUOR,,1,7.5,8.5,2.43,5.07,6.07
Candied Bacon Burger,,FOOD,,400,6957.79,7208.5,1804,5153.79,5404.5
Cappucino,,BEVERAGES,,24,140.65,144,10.8,129.85,133.2
Captain Morgan,Mix,LIQUOR,,48,316.44,336,,,
Captain Morgan,DBL,LIQUOR,,20,91.95,160,,,
Captain Morgan,Mug Dbl,LIQUOR,,1,7,7,,,
Car Bomb,,LIQUOR,,6,54,60,,,
Casamigos,Mix,LIQUOR,,13,227,228,,,
Casamigos,Shot,LIQUOR,,5,66.37,70,,,
Casamigos,RX,LIQUOR,,9,223,225,,,
Casamigos,DBL,LIQUOR,,5,93,95,,,
Chambord,DBL,LIQUOR,,1,0,12,,,
Cheese Curds,,,,41,392.88,411,132.84,260.04,278.16
Cheese Platter,,BANQUETS,,2,113.98,120,,,
Cheesecake du Jour,,FOOD,,126,1040.64,1134,,,
Cherry Vodka,Mix,LIQUOR,,15,33.9,105,,,
Chicken Baltimore,,FOOD,,4,100,100,,,
Chicken Burger,,FOOD,,91,1400.6,1499.5,455,945.6,1044.5
Chicken Croquettes,,FOOD,,91,1576.57,1639,398.58,1177.99,1240.42
Chicken Finger,,FOOD,,25,197.86,250,,,
Chicken Fingers,Full,BANQUETS,,2,160,160,,,
Chicken Fingers,Half,BANQUETS,,1,45,45,,,
Chicken Marsala,,FOOD,,12,235.89,240,,,
Chicken Parm,Full,BANQUETS,,2,192.5,220,,,
Chicken Parm Family Platter,,FOOD,,57,2479.75,2567,,,
Chicken Parmesan Sandwich,,FOOD,,17,161.98,239,,,
Chicken Parmigiana,,FOOD,,458,8073.53,8494,2056.42,6017.11,6437.58
Chicken Pot Pie,,FOOD,,389,6040.59,6224,1703.82,4336.77,4520.18
Chicken Salad Pita,,FOOD,,279,4331.42,4471,856.53,3474.89,3614.47
Chocolate Milk,,BEVERAGES,,22,86.88,88,12.1,74.78,75.9
Chocolate Vodka,Martini,LIQUOR,,1,10,10,,,
Club Soda,,BEVERAGES,,172,335.45,344,25.8,309.65,318.2
Coconut Rum,Mix,LIQUOR,,45,201.95,315,,,
Coconut Rum,RX,LIQUOR,,4,40,40,,,
Coconut Rum,DBL,LIQUOR,,5,40.11,41.25,,,
Coffee,,BEVERAGES,,336,982.88,1008,50.4,932.48,957.6
Coke,,BEVERAGES,,371,1095.5,1113,,,
Crab Cake Sandwich,,FOOD,,322,5576.79,5802.5,2466.52,3110.27,3335.98
Crab Cakes,,BANQUETS,,23,368,368,,,
Cranberry Juice,,BEVERAGES,,23,74.4,74.75,,,
Cranberry Ricky,,BEVERAGES,,16,111.25,112,,,
Creme Brulee,,FOOD,,150,1251.96,1350,,,
Crown Royal,Mix,LIQUOR,,27,257.52,270,52.92,204.6,217.08
Crown Royal,Manhattan,LIQUOR,,5,82,85,20,62,65
Crown Royal,Shot,LIQUOR,,2,18,18,2.22,15.78,15.78
Cuervo,Mix,LIQUOR,,3,29.23,29.5,,,
Daiquiri,,LIQUOR,,2,14.12,16,,,
Dbl Espresso,,BEVERAGES,,18,71.7,72,13.68,58.02,58.32
Decaf Cappucino,,BEVERAGES,,18,112.5,112.5,8.64,103.86,103.86
Decaf Coffee,,BEVERAGES,,104,316.2,322.4,12.48,303.72,309.92
Decaf Espresso,,BEVERAGES,,2,7,7,0.84,6.16,6.16
Decaf Tea,,BEVERAGES,,11,31.68,33,1.21,30.47,31.79
Dessert Du Jour,,,,38,300.43,380,,,
Dft Black & Tan,,DFT BEER,,3,15,15,2.67,12.33,12.33
Dft Coors,,DFT BEER,,347,1778.22,1908.5,,,
Dft Fathead,,DFT BEER,,76,543.84,589,,,
Dft Great Lakes,,DFT BEER,,275,2047.21,2199.25,,,
Dft Guinness,,DFT BEER,,188,1429.69,1504,,,
Dft Hofbrau,,DFT BEER,,291,2214.73,2328,,,
Dft Slyfox,,DFT BEER,,141,1062.43,1120.75,,,
Dft Stella,,DFT BEER,,365,1895.29,2372.5,,,
Dft Vault,,DFT BEER,,105,763.37,804.25,,,
Dft Victory,,DFT BEER,,377,2445.02,2688.5,,,
Dft Yuengling,,DFT BEER,,465,1958.92,2325,,,
Diet Coke,,BEVERAGES,,487,1416.16,1461,,,
Donkey,,BEVERAGES,,24,204.34,216,42,162.34,174
Double Cappucino,,BEVERAGES,,4,24,24,1.8,22.2,22.2
Eggplant Parmigiana,,FOOD,,153,2358.88,2449,385.56,1973.32,2063.44
Eggrolls,Full,BANQUETS,,1,90,90,,,
Espolon,RX,LIQUOR,,2,40,40,,,
Espolon,Shot,LIQUOR,,9,61.29,81,,,
Espolon,Mix,LIQUOR,,10,105,108,,,
Espolon,DBL,LIQUOR,,2,24.08,26,,,
Espresso,,BEVERAGES,,12,34.89,36,4.56,30.33,31.44
Extra Person Charge,,HOTEL ROOMS,,5,125,125,,,
Farro Salad,,FOOD,,174,2974.1,3160.5,382.8,2591.3,2777.7
Featured Drink,,LIQUOR,,106,997.87,1060,,,
Filet Sandwich,,FOOD,,256,3681.26,3868,785.92,2895.34,3082.08
Filthy Root Beer,,BEVERAGES,,21,136.57,147,,,
Frangelico,DBL,LIQUOR,,1,12,12,1.9,10.1,10.1
French Dip,,FOOD,,334,6381.38,6703,2535.06,3846.32,4167.94
French Fries,,FOOD,,1081,1810.56,1834,789.13,1021.43,1044.87
French Onion Soup,,FOOD,,357,2778.3,2856,,,
Fried Calamari,,FOOD,,219,2864.05,3504,847.53,2016.52,2656.47
Fruit Platter,,BANQUETS,,4,186.25,200,,,
Garden Salad,Half,BANQUETS,,1,25,25,,,
Gift Card,,GIFT CARD,,49,3450,3960,,,
Gift Card $10,,GIFT CARD,,10,90,100,,,
Gift Card $100,,GIFT CARD,,32,3100,3200,,,
Gift Card $25,,GIFT CARD,,5,125,125,,,
Gift Card $50,,GIFT CARD,,16,700,800,,,
Ginger Beer,,BEVERAGES,,1,3,3,,,
Ginger Snaps,,LIQUOR,,160,1357.48,1440,,,
Gingerale,,BEVERAGES,,85,248.03,255,,,
