item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,47,564,564,,,
$20 Bar Package,,BANQUETS,65,742.51,1300,,,
$22 Ala Carte,,BANQUETS,380,6571.29,8360,,,
$23 Package,,BANQUETS,12,276,276,,,
$25 Buffet,,BANQUETS,70,958.02,1750,,,
$27 Ala Carte,,BANQUETS,37,797.52,999,,,
$28 Buffet,,BANQUETS,27,756,756,,,
$3 Appetizer,,BANQUETS,954,2638.5,2862,,,
$30 Bar Package,,BANQUETS,124,3522.83,3720,,,
$30 Buffet,,BANQUETS,81,2070.87,2430,,,
$30 Sports Buffet,,BANQUETS,40,1200,1200,,,
$37 Ala Carte,,BANQUETS,217,7072.28,8029,,,
$4 Appetizer,,BANQUETS,300,1162.99,1200,,,
$4 Champagne Toast,,BANQUETS,37,134.97,148,,,
$40 Ala Carte,,BANQUETS,116,4092.93,4640,,,
$45 Buffet,,BANQUETS,276,11438.71,12420,,,
$48 Buffet,,BANQUETS,162,7358.27,7776,,,
$5 Mailing FEE,,GIFT CARD,5,25,25,,,
$50 Ala Carte,,BANQUETS,107,5158.56,5350,,,
0 Proof Tequila,,BEVERAGES,1,8,8,1.35,6.65,6.65
2 Room Holiday,,HOTEL ROOMS,6,1530,1530,,,
2 Room Suite,,HOTEL ROOMS,6,1025,1230,,,
Absolut Citron,Martini,LIQUOR,74,1084.77,1110,,,
Absolut Citron,Shot,LIQUOR,1,7,7,,,
Adult Brunch,,FOOD,1645,38558.86,39480,,,
Adult Grilled Cheese,,FOOD,16,176.49,180,,,
Adult Hot Choc,,LIQUOR,45,397.76,405,,,
Adult Pasta,,FOOD,18,174.5,275,,,
Ala Vodka,Half,BANQUETS,1,38.25,45,,,
Amaretto,Mix,LIQUOR,11,58.5,71.5,16.5,42,55
Amaretto,DBL,LIQUOR,1,8,8,1.9,6.1,6.1
Amaretto Di Sarona,DBL,LIQUOR,2,22.83,24,3.8,19.03,20.2
Amaretto Di Sarona,RX,LIQUOR,9,131.84,135,21.6,110.24,113.4
Amaretto Di Sarona,Mix,LIQUOR,14,139,140,21,118,119
Antipasto,,BANQUETS,8,596.23,640,,,
Antipasto,Half,BANQUETS,1,50,50,,,
Aperol Spritz,,LIQUOR,22,215.36,220,,,
Apple Crisp,,FOOD,316,2982.5,3167,,,
Apple Juice,,BEVERAGES,57,180.12,185.25,,,
Apricot Sour,,LIQUOR,1,6,6,,,
Assorted Wraps,Half,BANQUETS,2,140,140,,,
B&B,RX,LIQUOR,2,32.3,34,,,
B&B,DBL,LIQUOR,1,13,13,,,
B&W Lava Cake,,FOOD,243,2223.89,2430,,,
BLT,,FOOD,7,78,91,,,
BNI,,FOOD,235,3120.8,3120.8,,,
Bacardi Rum,Mug Dbl,LIQUOR,8,56,56,,,
Bacardi Rum,Mix,LIQUOR,62,435.33,442,,,
Bacardi Rum,DBL,LIQUOR,10,79,80,,,
Bacardi Rum,RX,LIQUOR,2,20,20,,,
Bacon Scallops,,FOOD,1,85,100,,,
Bad Santa,,LIQUOR,449,3462.45,3598,,,
Bah Rumbug,,LIQUOR,226,1759.19,1814,,,
Bailey's,Mix,LIQUOR,13,107.9,117,19.5,88.4,97.5
Bailey's,RX,LIQUOR,9,117,117,21.6,95.4,95.4
Bailey's,Shot,LIQUOR,8,64,64,6.4,57.6,57.6
Bailey's,DBL,LIQUOR,4,44,44,7.6,36.4,36.4
Baked Brie,,BANQUETS,2,90.35,100,,,
Baked Potato,,FOOD,1068,9.5,9.5,,,
Basil Hayden,RX,LIQUOR,46,902.12,920,,,
Basil Hayden,DBL,LIQUOR,11,175,176,,,
Basil Hayden,Manhattan,LIQUOR,8,184,184,,,
Bay Fries,,FOOD,19,98.6,114,,,
Beer Sample,,DFT BEER,23,0,0,,,
Black Berry Brandy,DBL,LIQUOR,5,34,35,,,
Black Berry Brandy,RX,LIQUOR,4,32,32,,,
Black Berry Brandy,Mix,LIQUOR,6,36,36,,,
Blitzen,,LIQUOR,107,829.18,880,,,
Bombay Saphire,Martini,LIQUOR,19,317.63,329,,,
Bombay Saphire,Mix,LIQUOR,41,396.67,410,,,
Bombay Saphire,Mug Dbl,LIQUOR,4,35.64,41,,,
Bombay Saphire,DBL,LIQUOR,7,84,84,,,
Boom Boom Shrimp,,FOOD,472,6747.56,7557.5,1821.92,4925.64,5735.58
