item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$2 Appetizer (Per Piece),,BANQUETS,255,356.81,510,,,
$20 Lunch Ala Carte,,BANQUETS,113,1816.72,2260,,,
$23 Lunch Buffet,,BANQUETS,256,4713.6,5888,,,
$28 Lunch Buffet,,BANQUETS,138,3384.95,3864,,,
$4 Champagne Toast,,BANQUETS,8,32,32,,,
1800,Mix,LIQUOR,6,59,60,,,
1800,RX,LIQUOR,1,13.5,13.5,,,
2 Room Suite,,HOTEL ROOMS,12,2460,2460,,,
Absolut,RX,LIQUOR,1,10,10,2.4,7.6,7.6
Absolut,Mix,LIQUOR,33,241.5,247.5,49.5,192,198
Absolut,Martini,LIQUOR,20,239,242,60,179,182
Absolut,DBL,LIQUOR,8,64,68,15.2,48.8,52.8
Absolut,Shot,LIQUOR,1,6,6,0.8,5.2,5.2
Absolut Citron,Martini,LIQUOR,72,721.66,792,,,
Absolut Citron,Mix,LIQUOR,4,27,30,,,
Adult Brunch,,FOOD,837,19337.03,20088,,,
Adult Grilled Cheese,,FOOD,10,114.23,118.5,,,
Adult Pasta,,FOOD,30,334.61,498.5,,,
Adult Ravioli,,FOOD,9,122,137,,,
Amaretto,Mix,LIQUOR,7,32.5,45.5,10.5,22,35
Amaretto,DBL,LIQUOR,1,8,8,1.9,6.1,6.1
Amaretto Di Sarona,RX,LIQUOR,5,55,55,12,43,43
Amaretto Di Sarona,Mix,LIQUOR,11,93.5,93.5,16.5,77,77
Amaretto Di Sarona,Shot,LIQUOR,4,32,32,3.2,28.8,28.8
Amaro-Averno,,LIQUOR,3,25.78,27,,,
Apple Crisp,,FOOD,231,1821.84,1852,,,
Apple Juice,,BEVERAGES,23,71.3,71.3,,,
B&B,DBL,LIQUOR,2,20.5,22,,,
B&B,RX,LIQUOR,4,49.44,52,,,
BLT,,FOOD,7,80,86,,,
Bacardi Rum,Mix,LIQUOR,76,483.5,503.5,,,
Bacardi Rum,DBL,LIQUOR,9,64.75,66.75,,,
Bailey's,Mix,LIQUOR,1,6,7,1.5,4.5,5.5
Bailey's,Shot,LIQUOR,7,42.31,45.5,5.6,36.71,39.9
Bailey's,DBL,LIQUOR,3,15,22.5,5.7,9.3,16.8
Bailey's,RX,LIQUOR,21,169,189,50.4,118.6,138.6
Baked Potato,,FOOD,770,4.5,4.5,,,
Bay Fries,,FOOD,1,6,6,,,
Beefeater Gin,Martini,LIQUOR,16,197.14,211,,,
Beefeater Gin,Mix,LIQUOR,9,67.5,67.5,,,
Beefeater Gin,RX,LIQUOR,2,23,23,,,
Beer Sample,,DFT BEER,37,0.46,0.5,,,
Bikini Martini,,LIQUOR,72,855.4,864,,,
Black Berry Brandy,Shot,LIQUOR,1,5.5,5.5,,,
Bombay Saphire,Mix,LIQUOR,26,216.13,221,,,
Bombay Saphire,Martini,LIQUOR,27,373,380,,,
Bombay Saphire,DBL,LIQUOR,7,66.22,70,,,
Bombay Saphire,RX,LIQUOR,5,63,65,,,
Boom Boom Shrimp,,FOOD,420,4998.07,5882,,,
Bread Pudding,,FOOD,99,763.81,796,,,
Brownie Sundae,,FOOD,157,1225.37,1256,,,
Brunch Bloody,,LIQUOR,128,499.14,512,,,
