item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$10 Continental Breakfast,,BANQUETS,21,210,210,,,
$2 Appetizer (Per Piece),,BANQUETS,125,216.46,250,,,
$20 Bar Package,,BANQUETS,32,577.25,640,,,
$20 Lunch Ala Carte,,BANQUETS,284,4465.27,5680,,,
$23 Lunch Buffet,,BANQUETS,561,10654.92,12903,,,
$26 Lunch Buffet,,BANQUETS,206,4672.44,5356,,,
$28 Lunch Buffet,,BANQUETS,2,56,56,,,
$3.50 Appetizer (Per Piece),,BANQUETS,15,52.5,52.5,,,
$31 Lunch Buffet,,BANQUETS,63,1953,1953,,,
$35 Dinner Ala Carte,,BANQUETS,46,1610,1610,,,
$40 Dinner Buffet,,BANQUETS,35,1262.75,1400,,,
$45 Dinner Ala Carte,,BANQUETS,83,3351.06,3735,,,
$5 Pasta Course,,BANQUETS,60,287.71,300,,,
$6 Hot Breakfast,,BANQUETS,21,126,126,,,
1800,Mix,LIQUOR,7,48,71,,,
2 Room Suite,,HOTEL ROOMS,10,2050,2050,,,
Absolut,Mix,LIQUOR,38,280,286,57,223,229
Absolut,Martini,LIQUOR,29,347,351,87,260,264
Absolut,Shot,LIQUOR,2,10,12,1.6,8.4,10.4
Absolut,DBL,LIQUOR,3,25.5,25.5,5.7,19.8,19.8
Absolut,RX,LIQUOR,1,10,10,2.4,7.6,7.6
Absolut Citron,Martini,LIQUOR,82,830.75,902,,,
Absolut Citron,Shot,LIQUOR,3,21,21,,,
Absolut Citron,Mix,LIQUOR,8,60,60,,,
Adult Brunch,,FOOD,1107,25810.52,26568,,,
Adult Grilled Cheese,,FOOD,21,252,252,,,
Adult Pasta,,FOOD,27,321.46,457,,,
Adult Ravioli,,FOOD,5,75,75,,,
Amaretto,Mix,LIQUOR,3,19.5,19.5,4.5,15,15
Amaretto,RX,LIQUOR,3,27,27,7.2,19.8,19.8
Amaretto Di Sarona,RX,LIQUOR,4,44,44,9.6,34.4,34.4
Amaretto Di Sarona,Mix,LIQUOR,8,65,68,12,53,56
Amaro-Averno,,LIQUOR,3,27,27,,,
Apple Crisp,,FOOD,224,1767.05,1796,,,
Apple Juice,,BEVERAGES,19,58.9,58.9,,,
Apricot Sour,,LIQUOR,6,36,36,,,
B&B,RX,LIQUOR,5,61.89,65,,,
B&B,DBL,LIQUOR,1,11,11,,,
BLT,,FOOD,6,64.5,74.5,,,
Bacardi Rum,Mix,LIQUOR,121,731.43,771.25,,,
Bacardi Rum,DBL,LIQUOR,11,79.75,79.75,,,
Bailey's,DBL,LIQUOR,1,7.5,7.5,1.9,5.6,5.6
