item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$20 Bar Package,,BANQUETS,138,2614.2,2760,,,
$22 Ala Carte,,BANQUETS,137,2683.17,3014,,,
$25 Buffet,,BANQUETS,310,6279.84,7750,,,
$28 Buffet,,BANQUETS,50,1200,1400,,,
$3 Appetizer,,BANQUETS,80,208.17,240,,,
$30 Buffet,,BANQUETS,192,5312.53,5760,,,
$33 Buffet,,BANQUETS,69,1864.87,2277,,,
$37 Ala Carte,,BANQUETS,26,705.91,962,,,
$4 Appetizer,,BANQUETS,40,138.78,160,,,
$4 Champagne Toast,,BANQUETS,65,216.3,260,,,
$4 Ultra,,DFT BEER,6,22.25,24,,,
1800,Mix,LIQUOR,3,32,33,,,
2 Room Suite,,HOTEL ROOMS,17,3485,3485,,,
Absolut,Mix,LIQUOR,23,181.62,186,34.5,147.12,151.5
Absolut,DBL,LIQUOR,3,27,27,5.7,21.3,21.3
Absolut,Martini,LIQUOR,5,73.5,73.5,15,58.5,58.5
Absolut,Shot,LIQUOR,1,7,7,0.8,6.2,6.2
Absolut Citron,Martini,LIQUOR,38,554.12,569,,,
Absolut Citron,Shot,LIQUOR,4,32,32,,,
Absolut Citron,Mug Dbl,LIQUOR,1,5.59,8,,,
Adult Brunch,,FOOD,1118,25373.67,26832,,,
Adult Grilled Cheese,,FOOD,7,72.77,83,,,
Adult Pasta,,FOOD,17,201.21,273.5,,,
Amaretto,Mix,LIQUOR,2,11,13,3,8,10
Amaretto,DBL,LIQUOR,1,8,8,1.9,6.1,6.1
Amaretto Di Sarona,Mix,LIQUOR,2,18.87,20,3,15.87,17
Amaretto Di Sarona,DBL,LIQUOR,1,12,12,1.9,10.1,10.1
Aperol Spritz,,LIQUOR,19,185.61,190,,,
Apple Crisp,,FOOD,151,1222.19,1360,,,
Apple Juice,,BEVERAGES,33,103.99,107.25,,,
Assorted Hoagie,Half,BANQUETS,1,70,70,,,
Assorted Wraps,Full,BANQUETS,1,130,130,,,
B&B,RX,LIQUOR,3,46.19,51,,,
B&B,DBL,LIQUOR,3,39,39,,,
BBQ Chicken,,FOOD,91,1595.84,1639,398.58,1197.26,1240.42
BLT,,FOOD,5,65,65,,,
BNI,,FOOD,252,3346.56,3346.56,,,
Bacardi Rum,Mix,LIQUOR,39,275.14,291,,,
Bacardi Rum,RX,LIQUOR,1,10,10,,,
Bacardi Rum,DBL,LIQUOR,8,59.88,64,,,
Bacardi Rum,Mug Dbl,LIQUOR,64,447,449,,,
Bailey's,Mix,LIQUOR,11,93.46,99,16.5,76.96,82.5
Bailey's,DBL,LIQUOR,2,21,22,3.8,17.2,18.2
Bailey's,Shot,LIQUOR,1,8,8,0.8,7.2,7.2
Bailey's,RX,LIQUOR,1,13,13,2.4,10.6,10.6
Baked Potato,,FOOD,521,7,7,,,
Basil Hayden,RX,LIQUOR,9,158.3,175,,,
Basil Hayden,Manhattan,LIQUOR,5,108,109,,,
Basil Hayden,DBL,LIQUOR,2,20.51,26,,,
Basil Hayden,Shot,LIQUOR,1,8,8,,,
Bay Fries,,FOOD,1,3.5,7,,,
Beer Sample,,DFT BEER,17,0,0,,,
Bikini Martini,,LIQUOR,128,1242.62,1280,,,
Black Berry Brandy,RX,LIQUOR,7,53.84,56,,,
Blackberry Colada,,BEVERAGES,42,299.76,336,,,
Bombay Saphire,Mix,LIQUOR,50,476.96,500,,,
Bombay Saphire,Martini,LIQUOR,14,234.5,239.5,,,
Bombay Saphire,DBL,LIQUOR,2,24,24,,,
Bombay Saphire,Mug Dbl,LIQUOR,10,100,101,,,
Bombay Saphire,RX,LIQUOR,1,16,16,,,
Boom Boom Shrimp,,FOOD,355,4589.63,5680.5,1725.3,2864.33,3955.2
Bread Pudding,,FOOD,84,727.08,756,,,
Brownie Sundae,,FOOD,136,1160.85,1224,,,
Brunch Bloody,,LIQUOR,100,390.84,400,,,
Brunch Mimosa,,GLASS WINE,224,882.43,896,,,
Btl Blue Moon,,BTL BEER,94,638.81,658,141.94,496.87,516.06
Btl Brut,,BOTTLE WINE,8,224.32,232,98.32,126,133.68
Btl Collier Cab,,BOTTLE WINE,3,82.22,84,24.87,57.35,59.13
Btl Collier Chard,,BOTTLE WINE,9,252,252,71.73,180.27,180.27
Btl Corona,,BTL BEER,147,809.12,1029,,,
Btl Corona Premier,,BTL BEER,44,288.24,308,,,
Btl Daou,,BOTTLE WINE,7,216.56,224,84,132.56,140
Btl Flower,,BTL BEER,101,553.25,707,174.73,378.52,532.27
Btl Merlot,,BOTTLE WINE,4,124.8,128,45.04,79.76,82.96
Btl Michelob Ultra,,BTL BEER,144,824.78,864,164.16,660.62,699.84
Btl Miller Lite,,BTL BEER,388,2159.51,2328,496.64,1662.87,1831.36
Btl Muir Wood Chard,,BOTTLE WINE,13,403.6,416,156,247.6,260
Btl Pessimist,,BOTTLE WINE,6,180,180,66,114,114
Btl Pinot Grigo,,BOTTLE WINE,10,276.21,300,120,156.21,180
Btl Pinot Noir,,BOTTLE WINE,5,145.72,150,50.45,95.27,99.55
Btl Rose,,BOTTLE WINE,3,79.8,84,26.13,53.67,57.87
Btl Sam Adams,,BTL BEER,47,322.45,329,71.44,251.01,257.56
Btl Sav Blanc,,BOTTLE WINE,13,324.32,364,117,207.32,247
Btl Stella,,BTL BEER,24,80.76,144,,,
Btl Stella N/A,,BTL BEER,32,195.33,224,47.68,147.65,176.32
Btl Yuengling,,BTL BEER,34,136.52,204,42.84,93.68,161.16
Buffalo Chicken Sandwich,,FOOD,12,107.5,188,,,
Bulleit Bourbon,Manhattan,LIQUOR,6,120,120,,,
Bulleit Bourbon,RX,LIQUOR,22,362.28,374,,,
Bulleit Bourbon,DBL,LIQUOR,2,24,24,,,
Bulleit Rye,Manhattan,LIQUOR,10,198,200,45.4,152.6,154.6
Bulleit Rye,RX,LIQUOR,4,68,68,14.88,53.12,53.12
Bushmills,RX,LIQUOR,5,54,55,,,
Caesar Salad,,FOOD,252,4596.47,4882,997.92,3598.55,3884.08
Caesar Salad,Full,BANQUETS,1,50,50,,,
Can Downeast,,BTL BEER,38,291.9,304,67.64,224.26,236.36
Can Downeast Flavor,,BTL BEER,33,257.12,272.25,58.74,198.38,213.51
Can High Noon Black Cherry,,BTL BEER,18,168.91,180,54.18,114.73,125.82
Can High Noon Grapefruit,,BTL BEER,18,146.53,180,54.18,92.35,125.82
Can High Noon Pineapple,,BTL BEER,12,119,120,36.12,82.88,83.88
Can High Noon Watermelon,,BTL BEER,7,65.6,70,21.07,44.53,48.93
Canadian Club,Mix,LIQUOR,1,6.25,6.25,1.5,4.75,4.75
Canadian Club,Manhattan,LIQUOR,3,29,30,8.85,20.15,21.15
Cappucino,,BEVERAGES,34,196.17,204,15.3,180.87,188.7
Captain Morgan,Mix,LIQUOR,67,396.73,474,,,
Captain Morgan,DBL,LIQUOR,34,200.88,272,,,
Captain Morgan,RX,LIQUOR,1,10,10,,,
Captain Morgan,Mug Dbl,LIQUOR,1,7,7,,,
Casamigos,Shot,LIQUOR,1,14,14,,,
Casamigos,Mix,LIQUOR,19,323,323,,,
Casamigos,DBL,LIQUOR,5,86.74,95,,,
Casamigos,RX,LIQUOR,9,217.52,225,,,
Chambord,DBL,LIQUOR,1,12,12,,,
Chambord,RX,LIQUOR,1,15,15,,,
Cheese Curds,,,34,306.24,340,110.16,196.08,229.84
Cheese Platter,,BANQUETS,1,45.16,60,,,
Cheese Tray,Full,BANQUETS,1,70,70,,,
Cheesecake du Jour,,FOOD,130,1077.01,1170,,,
Cherry Vodka,DBL,LIQUOR,3,24.75,24.75,,,
Cherry Vodka,Mix,LIQUOR,2,7,14,,,
Chicken Burger,,FOOD,96,1477.69,1580.75,480,997.69,1100.75
Chicken Cutlet Club,,FOOD,210,3046.15,3183.75,644.7,2401.45,2539.05
Chicken Finger,,FOOD,32,290.21,320,,,
Chicken Fingers,Full,BANQUETS,1,80,80,,,
Chicken Marsala,,FOOD,10,190,200,,,
Chicken Parm,Half,BANQUETS,1,60,60,,,
Chicken Parm Family Platter,,FOOD,37,1598,1665,,,
Chicken Parmesan Sandwich,,FOOD,13,145.5,183,,,
Chicken Parmigiana,,FOOD,425,7397.19,7801.5,1908.25,5488.94,5893.25
Chicken Pot Pie,,FOOD,300,4711.6,4800,1314,3397.6,3486
Chicken Salad Pita,,FOOD,314,4881.22,5035,963.98,3917.24,4071.02
Chimichurri Steak Salad,,FOOD,182,3725.32,3833,1532.44,2192.88,2300.56
Chocolate Milk,,BEVERAGES,19,74.55,76,10.45,64.1,65.55
Chocolate Pie,,FOOD,147,1246.91,1323,,,
Christain Bros,Mix,LIQUOR,3,14.63,18,,,
Club Soda,,BEVERAGES,174,338.16,348,26.1,312.06,321.9
Coconut Rum,Mix,LIQUOR,70,304.06,500,,,
Coffee,,BEVERAGES,271,802.08,813,40.65,761.43,772.35
Coke,,BEVERAGES,352,1027.27,1056,,,
Compari,RX,LIQUOR,1,13.31,15,,,
Cookie Tray,Full,BANQUETS,1,70,70,,,
Crab Cake Sandwich,,FOOD,345,6094.6,6221,2642.7,3451.9,3578.3
Crab Cakes,,BANQUETS,23,368,368,,,
Cranberry Juice,,BEVERAGES,20,64.74,65,,,
Cranberry Quinoa Salad,,FOOD,160,2840.22,2922,352,2488.22,2570
Creme Brulee,,FOOD,130,1118.43,1170,,,
Crown Royal,RX,LIQUOR,4,64,64,13.32,50.68,50.68
Crown Royal,Mix,LIQUOR,13,130,130,25.48,104.52,104.52
Crown Royal,Manhattan,LIQUOR,6,96.7,102,24,72.7,78
Crown Royal,DBL,LIQUOR,3,36,36,7.56,28.44,28.44
Crown Royal,Shot,LIQUOR,1,9,9,1.11,7.89,7.89
Cuervo,Shot,LIQUOR,1,7.5,7.5,,,
Cuervo,Mix,LIQUOR,8,84,84,,,
Daiquiri,,LIQUOR,1,8,8,,,
Dbl Decaf Espresso,,BEVERAGES,3,15,15,2.52,12.48,12.48
Dbl Espresso,,BEVERAGES,4,15.6,16,3.04,12.56,12.96
Decaf Cappucino,,BEVERAGES,14,87.5,87.5,6.72,80.78,80.78
Decaf Coffee,,BEVERAGES,101,310.37,313.1,12.12,298.25,300.98
Decaf Tea,,BEVERAGES,7,20.77,21,0.77,20,20.23
Dessert Du Jour,,,38,362.33,380,,,
Dft Black & Tan,,DFT BEER,6,30,30,5.34,24.66,24.66
Dft Cape May,,DFT BEER,213,1431.1,1567.75,,,
Dft Evil Genius,,DFT BEER,60,437,447,,,
Dft Guinness,,DFT BEER,159,1162.45,1272,,,
Dft Hofbrau,,DFT BEER,209,1559.22,1672,,,
