item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$20 Bar Package,,BANQUETS,65,1167.49,1300,,,
$22 Ala Carte,,BANQUETS,362,6156,7964,,,
$23 Package,,BANQUETS,48,1104,1104,,,
$25 Buffet,,BANQUETS,412,8337.45,10300,,,
$27 Ala Carte,,BANQUETS,36,779.53,972,,,
$28 Buffet,,BANQUETS,34,779.66,952,,,
$3 Appetizer,,BANQUETS,435,1086.38,1305,,,
$30 Bar Package,,BANQUETS,64,1609.75,1920,,,
$30 Buffet,,BANQUETS,216,5929.39,6480,,,
$31 Lunch Buffet,,BANQUETS,35,909.61,1085,,,
$33 Buffet,,BANQUETS,75,2275,2475,,,
$37 Ala Carte,,BANQUETS,141,4436.67,5217,,,
$4 Appetizer,,BANQUETS,475,1597.26,1900,,,
$4 Champagne Toast,,BANQUETS,34,101.15,136,,,
$4 Ultra,,DFT BEER,33,129.59,132,,,
$40 Ala Carte,,BANQUETS,101,3500.24,4040,,,
1800,Mix,LIQUOR,3,35,35,,,
1800,DBL,LIQUOR,3,30,30,,,
2 Room Suite,,HOTEL ROOMS,18,3690,3690,,,
Absolut,Mix,LIQUOR,29,241,245,43.5,197.5,201.5
Absolut,Martini,LIQUOR,18,265,269,54,211,215
Absolut,DBL,LIQUOR,3,27,27,5.7,21.3,21.3
Absolut,RX,LIQUOR,2,24,24,4.8,19.2,19.2
Absolut Citron,Martini,LIQUOR,59,858.65,881,,,
Absolut Citron,Mug Dbl,LIQUOR,10,76.79,83,,,
Adult Brunch,,FOOD,1595,39859.42,40956,,,
Adult Grilled Cheese,,FOOD,4,40.23,44,,,
Adult Pasta,,FOOD,24,217.38,392,,,
Ala Vodka,Full,BANQUETS,2,150.25,160,,,
Ala Vodka,Half,BANQUETS,1,39.91,45,,,
Amaretto,Martini,LIQUOR,1,8.04,10,3,5.04,7
Amaretto Di Sarona,RX,LIQUOR,3,45,45,7.2,37.8,37.8
Amaretto Di Sarona,Mix,LIQUOR,6,48,60,9,39,51
Amaretto Di Sarona,DBL,LIQUOR,1,12,12,1.9,10.1,10.1
Amaro-Averno,,LIQUOR,1,12,12,,,
Antipasto,,BANQUETS,2,134.75,160,,,
Aperol Spritz,,LIQUOR,41,404.6,410,,,
Apple Crisp,,FOOD,170,1411.28,1530,,,
Apple Crisp,Half,BANQUETS,1,50,50,,,
Apple Juice,,BEVERAGES,38,120.06,123.5,,,
Apple Tart,,,1,10,10,,,
B&B,DBL,LIQUOR,1,13,13,,,
B&B,RX,LIQUOR,1,17,17,,,
BBQ Chicken,,FOOD,106,1817.93,1909,464.28,1353.65,1444.72
BLT,,FOOD,5,58.5,65,,,
