item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,95,845.56,1140,,,
$2 Appetizer (Per Piece),,BANQUETS,375,687.54,750,,,
$20 Bar Package,,BANQUETS,37,370.82,740,,,
$20 Lunch Ala Carte,,BANQUETS,295,4219.62,5900,,,
$23 Lunch Buffet,,BANQUETS,413,7887.31,9499,,,
$28 Lunch Buffet,,BANQUETS,139,3360.66,3892,,,
$30 Bar Package,,BANQUETS,44,1213.51,1320,,,
$35 Dinner Ala Carte,,BANQUETS,36,515.64,1260,,,
$4 Champagne Toast,,BANQUETS,73,242.62,292,,,
$41 Dinner Ala Carte,,BANQUETS,11,29.34,451,,,
$45 Dinner Ala Carte,,BANQUETS,33,1485,1485,,,
$48 Dinner Buffet,,BANQUETS,45,2160,2160,,,
$5 Mailing FEE,,GIFT CARD,1,5,5,,,
$5 Pasta Course,,BANQUETS,15,75,75,,,
1800,Shot,LIQUOR,3,22.5,22.5,,,
2 Room Suite,,HOTEL ROOMS,13,2665,2665,,,
Absolut,Martini,LIQUOR,26,332.84,338.5,78,254.84,260.5
Absolut,Mix,LIQUOR,23,167.37,174.5,34.5,132.87,140
Absolut,Shot,LIQUOR,1,6,6,0.8,5.2,5.2
Absolut,RX,LIQUOR,1,9.9,11,2.4,7.5,8.6
Absolut,DBL,LIQUOR,9,75,81,17.1,57.9,63.9
Absolut Citron,Martini,LIQUOR,61,738.08,801.5,,,
Absolut Citron,Shot,LIQUOR,2,14,14,,,
Absolut Citron,Mix,LIQUOR,10,74,75,,,
Adult Brunch,,FOOD,1036,23908.35,24864,,,
Adult Grilled Cheese,,FOOD,17,190.5,198,,,
Adult Pasta,,FOOD,25,282.81,459.5,,,
Adult Ravioli,,FOOD,5,75,75,,,
Ala Vodka,Full,BANQUETS,1,80,80,,,
Amaretto,Shot,LIQUOR,2,6,12,1.6,4.4,10.4
Amaretto,RX,LIQUOR,1,9,9,2.4,6.6,6.6
Amaretto,Mix,LIQUOR,1,0,6.5,1.5,0,5
Amaretto Di Sarona,RX,LIQUOR,3,33,33,7.2,25.8,25.8
Amaretto Di Sarona,Mix,LIQUOR,2,17,17,3,14,14
Amaretto Di Sarona,DBL,LIQUOR,1,9.75,9.75,1.9,7.85,7.85
Amaretto Di Sarona,Shot,LIQUOR,1,8,8,0.8,7.2,7.2
Apple Crisp,,FOOD,177,1401.8,1418,,,
Apple Juice,,BEVERAGES,26,79.53,80.6,,,
Assorted Wraps,Half,BANQUETS,1,70,70,,,
B&B,Mix,LIQUOR,1,10,10,,,
B&B,DBL,LIQUOR,1,11,11,,,
B&B,RX,LIQUOR,1,13,13,,,
BLT,,FOOD,2,18,24,,,
Bacardi Rum,Mix,LIQUOR,85,589.9,605,,,
Bacardi Rum,DBL,LIQUOR,8,64,64,,,
Bailey's,RX,LIQUOR,15,134,135,36,98,99
Bailey's,Shot,LIQUOR,11,62.63,71.5,8.8,53.83,62.7
Bailey's,DBL,LIQUOR,1,7.5,7.5,1.9,5.6,5.6
Bailey's,Mix,LIQUOR,1,7,7,1.5,5.5,5.5
Baked Potato,,FOOD,699,3.5,3.5,,,
Bay Fries,,FOOD,5,26.96,30,,,
Beefeater Gin,Martini,LIQUOR,12,156.84,165,,,
Beefeater Gin,RX,LIQUOR,1,13.5,13.5,,,
Beefeater Gin,Mix,LIQUOR,6,47,48,,,
Beefeater Gin,DBL,LIQUOR,2,18,18,,,
Beer Sample,,DFT BEER,48,0,0,,,
Bikini Martini,,LIQUOR,122,895,976,,,
Black Berry Brandy,Mix,LIQUOR,1,5.1,6,,,
Black Berry Brandy,RX,LIQUOR,5,38.79,40,,,
Black Berry Brandy,Shot,LIQUOR,2,11,11,,,
Bombay Saphire,Martini,LIQUOR,19,276,281,,,
Bombay Saphire,RX,LIQUOR,1,13,13,,,
Bombay Saphire,Mix,LIQUOR,24,198.07,213.5,,,
Bombay Saphire,DBL,LIQUOR,3,33,33,,,
Bombay Saphire,Shot,LIQUOR,1,8,8,,,
Boom Boom Shrimp,,FOOD,476,5453.26,6666,,,
Brandy Alexander,,LIQUOR,1,7,7,,,
Bread Pudding,,FOOD,104,830.38,834,,,
Brownie Sundae,,FOOD,142,1101.81,1136,,,
Brunch Bloody,,LIQUOR,158,623.28,632,,,
