item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,43,516,516,,,
$20 Bar Package,,BANQUETS,60,1063.25,1200,,,
$22 Ala Carte,,BANQUETS,233,4060.23,5126,,,
$25 Buffet,,BANQUETS,364,7510.59,9100,,,
$27 Ala Carte,,BANQUETS,26,524.9,702,,,
$3 Appetizer,,BANQUETS,130,390,390,,,
$30 Buffet,,BANQUETS,295,7781.1,8850,,,
$30 Sports Buffet,,BANQUETS,147,3809.82,4410,,,
$37 Ala Carte,,BANQUETS,47,1535.39,1739,,,
$4 Appetizer,,BANQUETS,90,360,360,,,
$4 Champagne Toast,,BANQUETS,25,86.55,100,,,
$4 Ultra,,DFT BEER,8,32,32,,,
$40 Ala Carte,,BANQUETS,36,1271.36,1440,,,
$45 Buffet,,BANQUETS,158,4050.09,7110,,,
1800,Mix,LIQUOR,7,77,77,,,
1800,DBL,LIQUOR,2,20,20,,,
2 Room Suite,,HOTEL ROOMS,20,4100,4100,,,
Absolut,Martini,LIQUOR,16,224.74,231,48,176.74,183
Absolut,Mix,LIQUOR,22,174.41,178,33,141.41,145
Absolut,DBL,LIQUOR,4,36,36,7.6,28.4,28.4
Absolut,RX,LIQUOR,1,12,12,2.4,9.6,9.6
Absolut Citron,Martini,LIQUOR,53,758.28,792,,,
Absolut Citron,Mix,LIQUOR,2,16,16,,,
Absolut Citron,Shot,LIQUOR,7,49,49,,,
Absolut Citron,Mug Dbl,LIQUOR,11,88,88,,,
Adult Brunch,,FOOD,1297,32966.67,33684,,,
Adult Grilled Cheese,,FOOD,4,45.27,46,,,
Adult Pasta,,FOOD,16,223.17,277.5,,,
Ala Vodka,Full,BANQUETS,3,240,240,,,
Ala Vodka,Half,BANQUETS,2,79.65,90,,,
Amaretto,Mix,LIQUOR,3,17.5,19.5,4.5,13,15
Amaretto,DBL,LIQUOR,1,4.2,8,1.9,2.3,6.1
Amaretto Di Sarona,RX,LIQUOR,2,28.5,30,4.8,23.7,25.2
Amaretto Di Sarona,Mix,LIQUOR,11,106.28,110,16.5,89.78,93.5
Amaro-Averno,,LIQUOR,1,12,12,,,
Antipasto,,BANQUETS,1,80,80,,,
Aperol Spritz,,LIQUOR,16,146.5,160,,,
Apple Crisp,,FOOD,196,1695.28,1772,,,
Apple Juice,,BEVERAGES,23,69.65,74.75,,,
Apricot Brandy,Mix,LIQUOR,1,6,6,,,
Assorted Wraps,Full,BANQUETS,2,260,260,,,
B&B,DBL,LIQUOR,1,13,13,,,
B&B,RX,LIQUOR,3,51,51,,,
