item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,,27,223.3,324,,,
$20 Bar Package,,BANQUETS,,48,903.3,960,,,
$22 Ala Carte,,BANQUETS,,204,3821.98,4488,,,
$25 Buffet,,BANQUETS,,285,5826.17,7125,,,
$28 Buffet,,BANQUETS,,49,1172,1372,,,
$3 Appetizer,,BANQUETS,,385,1127.64,1155,,,
$30 Buffet,,BANQUETS,,193,5149.64,5790,,,
$37 Ala Carte,,BANQUETS,,199,6283,7363,,,
$4 Appetizer,,BANQUETS,,100,400,400,,,
$4 Champagne Toast,,BANQUETS,,80,282.69,320,,,
$40 Ala Carte,,BANQUETS,,53,1960.44,2120,,,
$45 Buffet,,BANQUETS,,72,2865.55,3240,,,
$5 Mailing FEE,,GIFT CARD,,1,5,5,,,
$6 Kamikazee,,LIQUOR,,22,132,132,,,
0 Proof Tequila,,BEVERAGES,,1,0,8,1.35,0,6.65
2 Room Suite,,HOTEL ROOMS,,11,2255,2255,,,
Absolut Citron,Martini,LIQUOR,,63,917,943,,,
Absolut Citron,RX,LIQUOR,,1,12,12,,,
Absolut Citron,Mix,LIQUOR,,5,37.33,40,,,
Adult Brunch,,FOOD,,1157,26886.87,27768,,,
Adult Grilled Cheese,,FOOD,,7,71,77.5,,,
Adult Hot Choc,,LIQUOR,,20,200.08,205,,,
Adult Pasta,,FOOD,,12,132.96,179,,,
Ala Vodka,Full,BANQUETS,,1,40,80,,,
Amaretto,Mix,LIQUOR,,3,19.5,19.5,4.5,15,15
Amaretto Di Sarona,Mix,LIQUOR,,5,50,50,7.5,42.5,42.5
Amaretto Di Sarona,RX,LIQUOR,,2,30,30,4.8,25.2,25.2
Amaretto Di Sarona,DBL,LIQUOR,,1,12,12,1.9,10.1,10.1
Amaro-Averno,,LIQUOR,,3,36,36,,,
Antipasto,,BANQUETS,,5,354,400,,,
Aperol Spritz,,LIQUOR,,23,206.15,230,,,
Apple Crisp,,FOOD,,260,2440.76,2600,,,
Apple Juice,,BEVERAGES,,27,85.42,87.75,,,
Assorted Wraps,Full,BANQUETS,,1,130,130,,,
B&B,RX,LIQUOR,,1,13.46,17,,,
B&W Lava Cake,,FOOD,,148,1404.46,1480,,,
BLT,,FOOD,,3,42,42,,,
BNI,,FOOD,,243,3227.04,3227.04,,,
BTL Sunshine,,BTL BEER,,2,5.48,12,,,
Bacardi Rum,Mix,LIQUOR,,30,207.62,218,,,
Bacardi Rum,DBL,LIQUOR,,4,32,32,,,
Bacardi Rum,Mug Dbl,LIQUOR,,18,125.05,126,,,
Bacardi Rum,Shot,LIQUOR,,1,6,6,,,
Bacardi Rum,RX,LIQUOR,,1,7.43,10,,,
Bad Santa,,LIQUOR,,97,950.34,970,,,
Bah Rumbug,,LIQUOR,,170,1665.11,1702,,,
Bailey's,RX,LIQUOR,,7,91,91,16.8,74.2,74.2
Bailey's,DBL,LIQUOR,,3,31.86,33,5.7,26.16,27.3
Bailey's,Mix,LIQUOR,,9,77.51,81,13.5,64.01,67.5
Bailey's,Shot,LIQUOR,,3,23.41,24,2.4,21.01,21.6
Baked Potato,,FOOD,,769,2.5,2.5,,,
Basil Hayden,Shot,LIQUOR,,1,13,13,,,
Basil Hayden,DBL,LIQUOR,,5,80,80,,,
Basil Hayden,RX,LIQUOR,,32,626.53,640,,,
Basil Hayden,Mix,LIQUOR,,1,12.5,13.5,,,
Basil Hayden,Manhattan,LIQUOR,,2,46,46,,,
Bay Fries,,FOOD,,20,120,120,,,
Beer Sample,,DFT BEER,,34,0,0,,,
Black Berry Brandy,RX,LIQUOR,,5,36.69,40,,,
Black Berry Brandy,Shot,LIQUOR,,3,16.5,16.5,,,
Black Berry Brandy,DBL,LIQUOR,,1,7,7,,,
Blitzen,,LIQUOR,,103,1179.83,1241,,,
Bombay Saphire,Martini,LIQUOR,,15,249.54,258,,,
Bombay Saphire,Mix,LIQUOR,,15,144.3,150,,,
Bombay Saphire,Mug Dbl,LIQUOR,,3,30,31,,,
Bombay Saphire,DBL,LIQUOR,,7,83,84,,,
Boneless Wings,Full,BANQUETS,,1,54.04,70,,,
Boom Boom Shrimp,,FOOD,,419,5578.49,6707,1617.34,3961.15,5089.66
Bread Pudding,,FOOD,,98,807.68,882,,,
Broiled Scallops,,FOOD,,154,5120.15,5236,1737.12,3383.03,3498.88
Brownie Sundae,,FOOD,,19,135,190,,,
Brunch Bloody,,LIQUOR,,101,395.85,404,,,
Brunch Mimosa,,GLASS WINE,,228,880.65,912,,,
Btl Blue Moon,,BTL BEER,,145,837.58,874,218.95,618.63,655.05
Btl Canyon Oaks Chard,,BOTTLE WINE,,6,168,168,,,
Btl Cardif Cab,,BOTTLE WINE,,4,112,112,,,
Btl Corona,,BTL BEER,,129,585,774,,,
Btl Corona Premier,,BTL BEER,,32,184.11,192,,,
Btl Dirtwolf,,BTL BEER,,7,68.26,70,,,
