item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$22 Ala Carte,,BANQUETS,,230,3532.38,5060,,,
$23 Package,,BANQUETS,,50,1150,1150,,,
$25 Buffet,,BANQUETS,,395,8225.96,9875,,,
$3 Appetizer,,BANQUETS,,770,1962.14,2310,,,
$30 Bar Package,,BANQUETS,,30,815.49,900,,,
$30 Buffet,,BANQUETS,,40,1015.06,1200,,,
$37 Ala Carte,,BANQUETS,,271,9234.15,10027,,,
$4 Appetizer,,BANQUETS,,275,897.75,1100,,,
$4 Champagne Toast,,BANQUETS,,54,216,216,,,
$4 Ultra,,DFT BEER,,1,4,4,,,
$45 Buffet,,BANQUETS,,174,7433.02,7830,,,
$5 Mailing FEE,,GIFT CARD,,2,10,10,,,
$50 Ala Carte,,BANQUETS,,12,519.19,600,,,
0 Proof Tequila,,BEVERAGES,,2,16,16,2.7,13.3,13.3
2 Room Suite,,HOTEL ROOMS,,21,4305,4305,,,
Absolut Citron,Mug Dbl,LIQUOR,,12,80.25,98,,,
Absolut Citron,Martini,LIQUOR,,43,601.72,641,,,
Absolut Citron,Shot,LIQUOR,,5,36,36,,,
Absolut Citron,Mix,LIQUOR,,5,40,40,,,
Absolut Citron,DBL,LIQUOR,,2,18,18,,,
Adult Brunch,,FOOD,,1000,23241.28,24000,,,
Adult Grilled Cheese,,FOOD,,6,67.06,70,,,
Adult Hot Choc,,LIQUOR,,14,140.5,141.5,,,
Adult Pasta,,FOOD,,16,157.5,307,,,
Amaretto,Mix,LIQUOR,,8,52,52,12,40,40
Amaretto Di Sarona,Mix,LIQUOR,,4,40,40,6,34,34
Amaro-Averno,,LIQUOR,,1,12,12,,,
Antipasto,,BANQUETS,,8,540.65,640,,,
Aperol Spritz,,LIQUOR,,16,154.36,160,,,
Apple Crisp,,FOOD,,269,2632.7,2692,,,
Apple Juice,,BEVERAGES,,24,76.56,78,,,
Apricot Sour,,LIQUOR,,2,12,12,,,
B&B,RX,LIQUOR,,4,65.57,68,,,
B&W Lava Cake,,FOOD,,128,1121.11,1280,,,
BLT,,FOOD,,7,80.59,93,,,
BNI,,FOOD,,387,5139.36,5139.36,,,
BTL Sunshine,,BTL BEER,,3,16.04,18,,,
Bacardi Rum,Mix,LIQUOR,,23,155.97,164,,,
Bacardi Rum,Mug Dbl,LIQUOR,,24,167,168,,,
Bacardi Rum,DBL,LIQUOR,,1,7,8,,,
Bad Santa,,LIQUOR,,66,640.91,660,,,
Bah Rumbug,,LIQUOR,,154,1488.01,1542,,,
Bailey's,Mix,LIQUOR,,10,84.9,90,15,69.9,75
Bailey's,Shot,LIQUOR,,7,56,56,5.6,50.4,50.4
Bailey's,RX,LIQUOR,,4,52,52,9.6,42.4,42.4
Bailey's,DBL,LIQUOR,,1,11,11,1.9,9.1,9.1
Baked Brie,,BANQUETS,,2,64.57,100,,,
Baked Potato,,FOOD,,721,0,0,,,
Basil Hayden,RX,LIQUOR,,20,384.45,400,,,
Basil Hayden,Manhattan,LIQUOR,,3,59.61,69,,,
Basil Hayden,DBL,LIQUOR,,6,95,96,,,
Bay Fries,,FOOD,,26,155.21,158,,,
Beer Sample,,DFT BEER,,37,0,0,,,
Black Berry Brandy,Mix,LIQUOR,,1,4.97,6,,,
Black Berry Brandy,RX,LIQUOR,,3,24,24,,,
Blitzen,,LIQUOR,,119,1280.41,1428,,,
Bombay Saphire,Martini,LIQUOR,,20,336.17,344.5,,,
Bombay Saphire,Mix,LIQUOR,,30,292,300,,,
Bombay Saphire,DBL,LIQUOR,,4,48,48,,,
Bombay Saphire,Mug Dbl,LIQUOR,,3,30,30,,,
Bombay Saphire,RX,LIQUOR,,1,14.68,16,,,
Boom Boom Shrimp,,FOOD,,342,4503.67,5475.5,1330.12,3173.55,4145.38
Brandy Alexander,,LIQUOR,,1,7,7,,,
Bread Pudding,,FOOD,,103,886.18,929,,,
Broiled Scallops,,FOOD,,160,5354.02,5440.5,1804.8,3549.22,3635.7
Brownie Sundae,,FOOD,,16,144.82,160,,,
