item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
$15 Pasta Station,,BANQUETS,,11,142.08,165,,,
$22 Ala Carte,,BANQUETS,,289,5448.76,6358,,,
$25 Buffet,,BANQUETS,,366,7505.9,9150,,,
$3 Appetizer,,BANQUETS,,105,274.95,315,,,
$30 Buffet,,BANQUETS,,186,4848.34,5580,,,
$37 Ala Carte,,BANQUETS,,124,4024.74,4588,,,
$4 Champagne Toast,,BANQUETS,,37,134.5,148,,,
$4 Ultra,,DFT BEER,,1,4,4,,,
$40 Ala Carte,,BANQUETS,,34,1229.74,1360,,,
$45 Buffet,,BANQUETS,,243,9405.51,10935,,,
$5 Mailing FEE,,GIFT CARD,,2,10,10,,,
$50 Ala Carte,,BANQUETS,,39,1799.09,1950,,,
0 Proof Tequila,,BEVERAGES,,1,8,8,1.35,6.65,6.65
2 Room Suite,,HOTEL ROOMS,,4,820,820,,,
Absolut Citron,Martini,LIQUOR,,28,394.05,419,,,
Absolut Citron,Mug Dbl,LIQUOR,,3,24,26,,,
Absolut Citron,Mix,LIQUOR,,3,23,24,,,
Absolut Citron,Shot,LIQUOR,,1,7,7,,,
Adult Brunch,,FOOD,,1282,29235.78,30768,,,
Adult Grilled Cheese,,FOOD,,7,62.65,77,,,
Adult Hot Choc,,LIQUOR,,4,37.68,40,,,
Adult Pasta,,FOOD,,19,206.43,334,,,
Ala Vodka,Half,BANQUETS,,1,45,45,,,
Amaretto,Mix,LIQUOR,,7,40.5,45.5,10.5,30,35
Amaretto,DBL,LIQUOR,,1,8,8,1.9,6.1,6.1
Amaretto,Shot,LIQUOR,,2,12,12,1.6,10.4,10.4
Amaretto Di Sarona,Shot,LIQUOR,,1,9,9,0.8,8.2,8.2
Amaretto Di Sarona,DBL,LIQUOR,,1,12,12,1.9,10.1,10.1
Aperol Spritz,,LIQUOR,,38,370.23,380,,,
Apple Crisp,,FOOD,,155,1375.86,1466,,,
Apple Juice,,BEVERAGES,,22,70.61,71.5,,,
Apple Strudel,,,,36,335.61,360,,,
B&W Lava Cake,,FOOD,,91,805.12,884,,,
BLT,,FOOD,,2,34,34,,,
BNI,,FOOD,,305,4050.4,4050.4,,,
Bacardi Rum,Mug Dbl,LIQUOR,,27,177.33,189,,,
Bacardi Rum,Mix,LIQUOR,,26,187,192,,,
Bacardi Rum,DBL,LIQUOR,,1,8,8,,,
Bad Santa,,LIQUOR,,105,1008.7,1050,,,
Bah Rumbug,,LIQUOR,,140,1366.64,1425,,,
Bailey's,RX,LIQUOR,,2,26,26,4.8,21.2,21.2
Bailey's,DBL,LIQUOR,,2,20.15,22,3.8,16.35,18.2
Bailey's,Shot,LIQUOR,,6,48,48,4.8,43.2,43.2
Bailey's,Mix,LIQUOR,,3,27,27,4.5,22.5,22.5
Baked Brie,,BANQUETS,,2,86.37,100,,,
Baked Potato,,FOOD,,580,8,8,,,
Basil Hayden,Manhattan,LIQUOR,,4,91,92,,,
Basil Hayden,DBL,LIQUOR,,9,142,144,,,
Basil Hayden,RX,LIQUOR,,17,333.87,340,,,
Basil Hayden,Shot,LIQUOR,,1,13,13,,,
Bay Fries,,FOOD,,3,17.14,21,,,
Beer Sample,,DFT BEER,,24,0,0,,,
Black Berry Brandy,DBL,LIQUOR,,2,14,14,,,
Black Berry Brandy,RX,LIQUOR,,3,24,24,,,
Blitzen,,LIQUOR,,129,1305.59,1422,,,
Bombay Saphire,Martini,LIQUOR,,19,302.68,323,,,
Bombay Saphire,Mix,LIQUOR,,21,196.21,210,,,
Bombay Saphire,RX,LIQUOR,,1,18,18,,,
Bombay Saphire,Mug Dbl,LIQUOR,,4,37.55,41,,,
Bombay Saphire,DBL,LIQUOR,,2,24,24,,,
Boom Boom Shrimp,,FOOD,,381,5019.1,6098,1851.66,3167.44,4246.34
Bread Pudding,,FOOD,,83,668.82,747,,,
Brownie Sundae,,FOOD,,89,740.57,819,,,
Brunch Bloody,,LIQUOR,,141,529.41,564,,,
Brunch Mimosa,,GLASS WINE,,261,1008.68,1044,,,
Btl Blue Moon,,BTL BEER,,83,501.6,518,125.33,376.27,392.67
Btl Canyon Oaks Chard,,BOTTLE WINE,,8,216.2,224,31.88,184.32,192.12
Btl Cardif Cab,,BOTTLE WINE,,9,242,252,41.45,200.55,210.55
Btl Corona,,BTL BEER,,83,451.2,520,,,
Btl Corona Premier,,BTL BEER,,30,182.06,184,,,
Btl Flower,,BTL BEER,,65,357.14,455,112.45,244.69,342.55
Btl Malbec,,BOTTLE WINE,,2,64,64,,,
Btl Michelob Ultra,,BTL BEER,,173,990.11,1038,197.22,792.89,840.78
Btl Miller Lite,,BTL BEER,,365,1822.97,1953,467.2,1355.77,1485.8
Btl Muir Wood Chard,,BOTTLE WINE,,8,241.55,251,36,205.55,215
Btl Peltier,,BOTTLE WINE,,11,342,342,132,210,210
Btl Pinot Grigo,,BOTTLE WINE,,14,359.07,400,48,311.07,352
Btl Pinot Noir,,BOTTLE WINE,,15,415,428,40.36,374.64,387.64
Btl Red Blend,,BOTTLE WINE,,4,100.9,120,,,
Btl Riesling,,BOTTLE WINE,,1,28,28,8.71,19.29,19.29
Btl Rose,,BOTTLE WINE,,7,207.9,215,36.87,171.03,178.13
Btl Sam Adams,,BTL BEER,,8,56,56,12.16,43.84,43.84
Btl Sav Blanc,,BOTTLE WINE,,15,423.32,456,54,369.32,402
Btl Stella,,BTL BEER,,3,18,18,,,
Btl Stella N/A,,BTL BEER,,36,247.38,252,53.64,193.74,198.36
Btl Yuengling,,BTL BEER,,7,41.54,42,8.82,32.72,33.18
Buffalo Chicken Sandwich,,FOOD,,5,60,76,,,
Bulleit Bourbon,RX,LIQUOR,,27,450.33,459.5,,,
Bulleit Bourbon,Manhattan,LIQUOR,,4,79,80,,,
Bulleit Bourbon,Mix,LIQUOR,,3,34,34,,,
Bulleit Rye,Manhattan,LIQUOR,,11,220,220,49.94,170.06,170.06
Bulleit Rye,RX,LIQUOR,,5,85,85,18.6,66.4,66.4
Bulleit Rye,DBL,LIQUOR,,1,12,12,2.78,9.22,9.22
Bushmills,Shot,LIQUOR,,1,5.96,7,,,
Bushmills,Mix,LIQUOR,,1,8.5,8.5,,,
Bushmills,DBL,LIQUOR,,1,9.5,9.5,,,
Caesar Salad,,FOOD,,200,3613.46,3818,792,2821.46,3026
Can Downeast,,BTL BEER,,52,399.32,416,92.56,306.76,323.44
Can Downeast Flavor,,BTL BEER,,30,224.02,242.75,53.4,170.62,189.35
Canadian Club,Mix,LIQUOR,,2,12.5,12.5,3,9.5,9.5
Canadian Club,Manhattan,LIQUOR,,1,11,11,2.95,8.05,8.05
Candied Bacon Burger,,FOOD,,359,6291.55,6470.75,1619.09,4672.46,4851.66
Cappucino,,BEVERAGES,,23,135.14,138,10.35,124.79,127.65
Captain Morgan,Mug Dbl,LIQUOR,,2,11.6,14,,,
Captain Morgan,Mix,LIQUOR,,52,318.89,364,,,
Captain Morgan,DBL,LIQUOR,,27,204,216,,,
Casamigos,Mix,LIQUOR,,13,211,212,,,
Casamigos,Shot,LIQUOR,,1,14,14,,,
Casamigos,DBL,LIQUOR,,6,113,116,,,
Chambord,Mix,LIQUOR,,4,40,40,,,
Chambord,DBL,LIQUOR,,1,12,12,,,
Cheese Curds,,,,34,319.61,340,110.16,209.45,229.84
Cheese Platter,,BANQUETS,,2,109.05,120,,,
Cheesecake du Jour,,FOOD,,128,1081.28,1200,,,
Chicken Baltimore,,FOOD,,2,50,50,,,
Chicken Burger,,FOOD,,98,1441.31,1622.75,490,951.31,1132.75
Chicken Croquettes,,FOOD,,101,1742.85,1819,442.38,1300.47,1376.62
Chicken Finger,,FOOD,,21,193.91,210,,,
Chicken Marsala,,FOOD,,11,200,220,,,
Chicken Parm Family Platter,,FOOD,,42,1826,1892,,,
Chicken Parmesan Sandwich,,FOOD,,10,91,141,,,
Chicken Parmigiana,,FOOD,,418,7183.04,7686,1876.82,5306.22,5809.18
Chicken Pot Pie,,FOOD,,413,6398.8,6608,1808.94,4589.86,4799.06
Chicken Pot Pie,Half,BANQUETS,,1,60,60,,,
Chicken Salad Pita,,FOOD,,263,4089.97,4213,807.41,3282.56,3405.59
Chili,Cup,FOOD,,9,54.24,55,,,
