Table Names,type,item,size,quantity,net_sales
Tequila April 2023.csv,tequila,1800,Shot,5,37.5
Tequila April 2023.csv,tequila,1800,Mix,3,28.64
Tequila April 2023.csv,tequila,Casamigos,Mix,18,303
Tequila April 2023.csv,tequila,Casamigos,RX,1,23
Tequila April 2023.csv,tequila,Casamigos,Shot,20,244.05
Tequila April 2023.csv,tequila,Cuervo,Mix,14,138.5
Tequila April 2023.csv,tequila,Espolon,Mix,33,328.96
Tequila April 2023.csv,tequila,Espolon,Shot,3,27
Tequila April 2023.csv,tequila,Patron,Mix,32,518.16
Tequila April 2023.csv,tequila,Patron,DBL,6,108
Tequila April 2023.csv,tequila,Patron,Shot,5,49.4
Tequila April 2023.csv,tequila,Patron,RX,2,41.75
Tequila April 2023.csv,tequila,Sauza,Mix,34,238
Tequila April 2023.csv,tequila,Well Tequila,Mix,182,1216.48
Tequila April 2023.csv,tequila,Well Tequila,DBL,2,17
Tequila April 2023.csv,tequila,Well Tequila,Shot,2,10.2
Tequila April 2023.csv,tequila,Well Tequila,RX,2,21
Tequila April 2023.csv,tequila,Total,,364,3350.64
Vodka April 2023.csv,vodka,Absolut,DBL,11,100
Vodka April 2023.csv,vodka,Absolut,Martini,11,157.5
Vodka April 2023.csv,vodka,Absolut,Mix,23,167.5
Vodka April 2023.csv,vodka,Absolut Citron,Martini,93,1211.09
Vodka April 2023.csv,vodka,Absolut Citron,Mix,3,22.5
Vodka April 2023.csv,vodka,Cherry Vodka,DBL,3,24.75
Vodka April 2023.csv,vodka,Cherry Vodka,Mix,4,21
Vodka April 2023.csv,vodka,Chocolate Vodka,Martini,2,19
Vodka April 2023.csv,vodka,Grape Vodka,Mix,6,42
Vodka April 2023.csv,vodka,Grey Goose,Martini,71,1079.98
Vodka April 2023.csv,vodka,Grey Goose,RX,19,271.5
Vodka April 2023.csv,vodka,Grey Goose,DBL,4,50
Vodka April 2023.csv,vodka,Grey Goose,Mix,34,352.28
Vodka April 2023.csv,vodka,Ketel One,Mix,59,546.71
Vodka April 2023.csv,vodka,Ketel One,Martini,62,932.43
Vodka April 2023.csv,vodka,Ketel One,RX,5,69.5
Vodka April 2023.csv,vodka,Ketel One,DBL,8,92
Vodka April 2023.csv,vodka,Mango Vodka,Martini,2,21
Vodka April 2023.csv,vodka,Mango Vodka,Mix,2,14
Vodka April 2023.csv,vodka,Orange Vodka,RX,2,18
Vodka April 2023.csv,vodka,Orange Vodka,Mix,14,88
Vodka April 2023.csv,vodka,Orange Vodka,Shot,2,13
Vodka April 2023.csv,vodka,Orange Vodka,Martini,5,55
Vodka April 2023.csv,vodka,Orange Vodka,DBL,1,8.25
Vodka April 2023.csv,vodka,Peach Schnapps,Shot,4,22
Vodka April 2023.csv,vodka,Peach Schnapps,Mix,7,41
Vodka April 2023.csv,vodka,Pomegranate Vodka,Martini,3,29
Vodka April 2023.csv,vodka,Raspberry Vodka,Mix,3,20
Vodka April 2023.csv,vodka,Raspberry Vodka,DBL,1,8.25
Vodka April 2023.csv,vodka,Raspberry Vodka,Martini,2,22
Vodka April 2023.csv,vodka,Sweet Tea Vodka,Mix,1,6.5
Vodka April 2023.csv,vodka,Tito's,Mix,357,2811.59
Vodka April 2023.csv,vodka,Tito's,Martini,154,2037.13
Vodka April 2023.csv,vodka,Tito's,DBL,87,818.42
Vodka April 2023.csv,vodka,Tito's,RX,34,357.76
Vodka April 2023.csv,vodka,Tito's,Shot,6,36
