Table Names,type,item,size,quantity,gross_sales
Gin April 2024 Original.csv,gin,Beefeater Gin,Martini,14,229
Gin April 2024 Original.csv,gin,Beefeater Gin,Shot,2,16
Gin April 2024 Original.csv,gin,Beefeater Gin,Mix,5,45
Gin April 2024 Original.csv,gin,Bombay Saphire,Martini,8,137.5
Gin April 2024 Original.csv,gin,Bombay Saphire,Mix,49,490
Gin April 2024 Original.csv,gin,Bombay Saphire,Mug Dbl,3,30
Gin April 2024 Original.csv,gin,Bombay Saphire,RX,2,32
Gin April 2024 Original.csv,gin,Bombay Saphire,DBL,2,24
Gin April 2024 Original.csv,gin,Tanqueray,Mug Dbl,44,472
Gin April 2024 Original.csv,gin,Tanqueray,Mix,63,663.5
Gin April 2024 Original.csv,gin,Tanqueray,Martini,12,222
Gin April 2024 Original.csv,gin,Tanqueray,DBL,8,96
Gin April 2024 Original.csv,gin,Well Gin,Martini,7,64
Gin April 2024 Original.csv,gin,Well Gin,Mix,64,401
Gin April 2024 Original.csv,gin,Total,,283,2922
Scotch April 2024 Original.csv,scotch,Bushmills,Mix,3,25.5
Scotch April 2024 Original.csv,scotch,Bushmills,Shot,3,21
Scotch April 2024 Original.csv,scotch,Bushmills,RX,5,55
Scotch April 2024 Original.csv,scotch,Glenlivet 12,RX,2,64
Scotch April 2024 Original.csv,scotch,JW Black,RX,11,209
Scotch April 2024 Original.csv,scotch,Macallan 12,DBL,3,54
Scotch April 2024 Original.csv,scotch,Macallan 18,DBL,1,60
Scotch April 2024 Original.csv,scotch,Well Scotch,Manhattan,5,81
Scotch April 2024 Original.csv,scotch,Well Scotch,Mix,18,148.5
Scotch April 2024 Original.csv,scotch,Well Scotch,RX,4,60
Scotch April 2024 Original.csv,scotch,Well Scotch,DBL,1,10
Scotch April 2024 Original.csv,scotch,Well Scotch,Shot,1,7
Scotch April 2024 Original.csv,scotch,Total,,57,795
Tequila April 2024 Original.csv,tequila,1800,Mix,12,121
Tequila April 2024 Original.csv,tequila,Casamigos,Shot,1,14
Tequila April 2024 Original.csv,tequila,Casamigos,RX,4,100
Tequila April 2024 Original.csv,tequila,Casamigos,Mix,10,168
Tequila April 2024 Original.csv,tequila,Casamigos,DBL,4,76
Tequila April 2024 Original.csv,tequila,Cuervo,Mix,5,46.5
Tequila April 2024 Original.csv,tequila,Espolon,Mix,11,126
Tequila April 2024 Original.csv,tequila,Espolon,DBL,2,26
Tequila April 2024 Original.csv,tequila,Espolon,RX,2,36
Tequila April 2024 Original.csv,tequila,Patron,RX,6,146
Tequila April 2024 Original.csv,tequila,Patron,Mix,35,640
Tequila April 2024 Original.csv,tequila,Patron,Shot,7,98
Tequila April 2024 Original.csv,tequila,Patron,DBL,1,19
Tequila April 2024 Original.csv,tequila,Sauza,Mug Dbl,75,582.5
Tequila April 2024 Original.csv,tequila,Sauza,Mix,1,9.5
Tequila April 2024 Original.csv,tequila,Well Tequila,Mix,175,1332.75
Tequila April 2024 Original.csv,tequila,Well Tequila,Mug Dbl,5,32.25
Tequila April 2024 Original.csv,tequila,Well Tequila,DBL,6,47
Tequila April 2024 Original.csv,tequila,Well Tequila,Shot,1,5.5
Tequila April 2024 Original.csv,tequila,Total,,363,3626
Rum April 2024 Original.csv,rum,Bacardi Rum,DBL,2,16
Rum April 2024 Original.csv,rum,Bacardi Rum,Mix,33,241
Rum April 2024 Original.csv,rum,Bacardi Rum,Mug Dbl,52,380
