Table Names,type,item,size,quantity,gross_sales
Bourbon August.csv,bourbon,Basil Hayden,RX,31,620
Bourbon August.csv,bourbon,Basil Hayden,Manhattan,1,23
Bourbon August.csv,bourbon,Basil Hayden,DBL,2,32
Bourbon August.csv,bourbon,Bulleit Bourbon,Mix,12,134
Bourbon August.csv,bourbon,Bulleit Bourbon,Manhattan,9,180
Bourbon August.csv,bourbon,Bulleit Bourbon,RX,31,529
Bourbon August.csv,bourbon,Bulleit Bourbon,DBL,2,24
Bourbon August.csv,bourbon,Jim Beam Black,Shot,7,56
Bourbon August.csv,bourbon,Jim Beam Black,Mug Dbl,9,76.5
Bourbon August.csv,bourbon,Jim Beam Black,Manhattan,3,48
Bourbon August.csv,bourbon,Jim Beam Black,RX,2,26
Bourbon August.csv,bourbon,Jim Beam Black,Mix,2,17
Bourbon August.csv,bourbon,Jim Beam Black,DBL,5,55
Bourbon August.csv,bourbon,Makers Mark,RX,37,592
Bourbon August.csv,bourbon,Makers Mark,Mug Dbl,36,396
Bourbon August.csv,bourbon,Makers Mark,Manhattan,16,304
Bourbon August.csv,bourbon,Makers Mark,Mix,13,143
Bourbon August.csv,bourbon,Makers Mark,DBL,5,65
Bourbon August.csv,bourbon,Southern Comfort,Mix,1,7
Bourbon August.csv,bourbon,Southern Comfort,RX,3,30
Bourbon August.csv,bourbon,Southern Comfort,Manhattan,1,12
Bourbon August.csv,bourbon,Well Bourbon,RX,23,195.5
Bourbon August.csv,bourbon,Well Bourbon,Mix,11,71.75
Bourbon August.csv,bourbon,Well Bourbon,Manhattan,14,126
Bourbon August.csv,bourbon,Well Bourbon,DBL,5,37.5
Bourbon August.csv,bourbon,Woodford Reserve,RX,21,442
Bourbon August.csv,bourbon,Woodford Reserve,DBL,13,195
Bourbon August.csv,bourbon,Woodford Reserve,Manhattan,3,66
Bourbon August.csv,bourbon,Woodford Reserve,Mix,1,13
Bourbon August.csv,bourbon,Total,,319,4516.25
Tequila August.csv,tequila,Casamigos,Mix,13,228
Tequila August.csv,tequila,Casamigos,Shot,5,70
Tequila August.csv,tequila,Casamigos,RX,9,225
Tequila August.csv,tequila,Casamigos,DBL,5,95
Tequila August.csv,tequila,Cuervo,Mix,3,29.5
Tequila August.csv,tequila,Espolon,RX,2,40
Tequila August.csv,tequila,Espolon,Mix,10,108
Tequila August.csv,tequila,Espolon,Shot,6,54
Tequila August.csv,tequila,Espolon,DBL,2,26
Tequila August.csv,tequila,Patron,Mix,19,342
