Table Names,type,item,size,quantity,net_sales
Whiskey February 2023.csv,whiskey,Bulleit Rye,Manhattan,10,160
Whiskey February 2023.csv,whiskey,Bulleit Rye,RX,5,70
Whiskey February 2023.csv,whiskey,Bulleit Rye,Mix,2,18
Whiskey February 2023.csv,whiskey,Canadian Club,Manhattan,2,20
Whiskey February 2023.csv,whiskey,Canadian Club,Mix,5,28.24
Whiskey February 2023.csv,whiskey,Crown Royal,Manhattan,6,84
Whiskey February 2023.csv,whiskey,Crown Royal,DBL,8,77.97
Whiskey February 2023.csv,whiskey,Crown Royal,Shot,5,34
Whiskey February 2023.csv,whiskey,Crown Royal,Mix,5,40
Whiskey February 2023.csv,whiskey,Crown Royal,RX,4,52
Whiskey February 2023.csv,whiskey,Jack Daniels,Shot,34,57.5
Whiskey February 2023.csv,whiskey,Jack Daniels,Mix,64,410.48
Whiskey February 2023.csv,whiskey,Jack Daniels,RX,7,76
Whiskey February 2023.csv,whiskey,Jack Daniels,DBL,27,170
Whiskey February 2023.csv,whiskey,Jack Daniels,Manhattan,2,25
Whiskey February 2023.csv,whiskey,Jack Fire,Shot,7,49
Whiskey February 2023.csv,whiskey,Jack Fire,Mix,1,7.5
Whiskey February 2023.csv,whiskey,Jameson,Shot,47,293
Whiskey February 2023.csv,whiskey,Jameson,Mix,22,174.5
Whiskey February 2023.csv,whiskey,Jameson,DBL,12,120
Whiskey February 2023.csv,whiskey,Jameson,RX,11,141.53
Whiskey February 2023.csv,whiskey,Old Grandad,RX,2,22
Whiskey February 2023.csv,whiskey,Old Grandad,Mix,6,45
Whiskey February 2023.csv,whiskey,Old Grandad,Manhattan,1,13
Whiskey February 2023.csv,whiskey,Sazerac Rye,Manhattan,4,64
Whiskey February 2023.csv,whiskey,Seagrams 7,Manhattan,2,20
Whiskey February 2023.csv,whiskey,Seagrams 7,Mix,16,108.04
Whiskey February 2023.csv,whiskey,Seagrams VO,Manhattan,19,195.52
Whiskey February 2023.csv,whiskey,Seagrams VO,DBL,2,15
Whiskey February 2023.csv,whiskey,Seagrams VO,RX,7,68
Whiskey February 2023.csv,whiskey,Seagrams VO,Mix,5,31.5
Whiskey February 2023.csv,whiskey,Seagrams VO,Shot,2,12
Whiskey February 2023.csv,whiskey,Skrewball,RX,1,12
Whiskey February 2023.csv,whiskey,Skrewball,DBL,1,9.5
Whiskey February 2023.csv,whiskey,Skrewball,Shot,3,22.5
Whiskey February 2023.csv,whiskey,Well Whiskey,Mix,16,92.6
Whiskey February 2023.csv,whiskey,Well Whiskey,Manhattan,4,34
Whiskey February 2023.csv,whiskey,Well Whiskey,Shot,1,5.5
Whiskey February 2023.csv,whiskey,Well Whiskey,RX,2,16
Whiskey February 2023.csv,whiskey,Total,,380,2894.88
Scotch February 2023.csv,scotch,Bushmills,Shot,2,13
Scotch February 2023.csv,scotch,Glenlivet 12,RX,2,63
Scotch February 2023.csv,scotch,Glenlivet 12,DBL,2,40
Scotch February 2023.csv,scotch,JW Black,RX,16,240
Scotch February 2023.csv,scotch,JW Black,Mix,1,11
Scotch February 2023.csv,scotch,Macallan 12,DBL,5,86.86
Scotch February 2023.csv,scotch,Macallan 12,RX,1,30
Scotch February 2023.csv,scotch,Well Scotch,RX,7,56
Scotch February 2023.csv,scotch,Well Scotch,Mix,12,72
Scotch February 2023.csv,scotch,Well Scotch,Manhattan,4,32
Scotch February 2023.csv,scotch,Well Scotch,DBL,1,7
Scotch February 2023.csv,scotch,Well Scotch,Martini,2,17
Scotch February 2023.csv,scotch,Total,,55,667.86
Rum February 2023.csv,rum,Bacardi Rum,Mix,74,471
Rum February 2023.csv,rum,Bacardi Rum,DBL,9,64.75
Rum February 2023.csv,rum,Captain Morgan,Mix,100,610.55
Rum February 2023.csv,rum,Captain Morgan,DBL,64,474.75
Rum February 2023.csv,rum,Coconut Rum,Mix,103,303.87
Rum February 2023.csv,rum,Coconut Rum,DBL,1,7.25
Rum February 2023.csv,rum,Coconut Rum,RX,1,8
Rum February 2023.csv,rum,Meyers Dark,Mix,10,63
Rum February 2023.csv,rum,Meyers Dark,DBL,2,15
Rum February 2023.csv,rum,Passion Fruit Rum,Mix,1,6.25
Rum February 2023.csv,rum,Well Rum,Mix,24,86
Rum February 2023.csv,rum,Total,,389,2110.42
Vodka February 2023.csv,vodka,Absolut,RX,1,10
Vodka February 2023.csv,vodka,Absolut,Mix,33,241.5
Vodka February 2023.csv,vodka,Absolut,Martini,20,239
Vodka February 2023.csv,vodka,Absolut,DBL,8,64
Vodka February 2023.csv,vodka,Absolut,Shot,1,6
Vodka February 2023.csv,vodka,Absolut Citron,Martini,72,721.66
Vodka February 2023.csv,vodka,Absolut Citron,Mix,4,27
Vodka February 2023.csv,vodka,Cherry Vodka,Mix,2,14
Vodka February 2023.csv,vodka,Cherry Vodka,Martini,1,10
Vodka February 2023.csv,vodka,Chocolate Vodka,Martini,3,30
