Table Names,type,item,size,quantity,gross_sales
Scotch February 2024 Original.csv,scotch,Bushmills,Mix,3,25.5
Scotch February 2024 Original.csv,scotch,Bushmills,DBL,5,47.5
Scotch February 2024 Original.csv,scotch,Bushmills,Shot,5,35
Scotch February 2024 Original.csv,scotch,Bushmills,RX,1,11
Scotch February 2024 Original.csv,scotch,Glenlivet 12,DBL,3,60
Scotch February 2024 Original.csv,scotch,Glenlivet 12,RX,1,32
Scotch February 2024 Original.csv,scotch,JW Black,RX,7,133
Scotch February 2024 Original.csv,scotch,JW Black,Mix,1,13
Scotch February 2024 Original.csv,scotch,JW Black,DBL,2,32
Scotch February 2024 Original.csv,scotch,Macallan 12,DBL,4,72
Scotch February 2024 Original.csv,scotch,Well Scotch,RX,11,165
Scotch February 2024 Original.csv,scotch,Well Scotch,DBL,1,10
Scotch February 2024 Original.csv,scotch,Well Scotch,Mix,7,57.75
Scotch February 2024 Original.csv,scotch,Well Scotch,Mug Dbl,1,8.25
Scotch February 2024 Original.csv,scotch,Total,,52,702
Bourbon February 2024 Original.csv,bourbon,Bulleit Bourbon,DBL,15,180
Bourbon February 2024 Original.csv,bourbon,Bulleit Bourbon,RX,38,638
Bourbon February 2024 Original.csv,bourbon,Bulleit Bourbon,Shot,11,90
Bourbon February 2024 Original.csv,bourbon,Bulleit Bourbon,Manhattan,17,338
Bourbon February 2024 Original.csv,bourbon,Bulleit Bourbon,Mix,5,54
Bourbon February 2024 Original.csv,bourbon,Jim Beam Black,Shot,23,185
Bourbon February 2024 Original.csv,bourbon,Jim Beam Black,DBL,1,11
Bourbon February 2024 Original.csv,bourbon,Jim Beam Black,Mix,2,17
Bourbon February 2024 Original.csv,bourbon,Jim Beam Black,RX,1,13
Bourbon February 2024 Original.csv,bourbon,Knob Creek,RX,13,195
Bourbon February 2024 Original.csv,bourbon,Knob Creek,Mix,2,22
Bourbon February 2024 Original.csv,bourbon,Knob Creek,DBL,4,52
Bourbon February 2024 Original.csv,bourbon,Knob Creek,Manhattan,7,119
Bourbon February 2024 Original.csv,bourbon,Makers Mark,Mix,33,357
Bourbon February 2024 Original.csv,bourbon,Makers Mark,RX,58,929
Bourbon February 2024 Original.csv,bourbon,Makers Mark,Manhattan,10,189
Bourbon February 2024 Original.csv,bourbon,Makers Mark,DBL,3,39
Bourbon February 2024 Original.csv,bourbon,Makers Mark,Mug Dbl,3,33
Bourbon February 2024 Original.csv,bourbon,Makers Mark,Shot,1,9
Bourbon February 2024 Original.csv,bourbon,Southern Comfort,RX,5,50
Bourbon February 2024 Original.csv,bourbon,Southern Comfort,Manhattan,1,12
Bourbon February 2024 Original.csv,bourbon,Southern Comfort,DBL,3,24
Bourbon February 2024 Original.csv,bourbon,Southern Comfort,Mix,2,14
Bourbon February 2024 Original.csv,bourbon,Well Bourbon,Manhattan,22,198
Bourbon February 2024 Original.csv,bourbon,Well Bourbon,Mix,7,43.75
Bourbon February 2024 Original.csv,bourbon,Well Bourbon,RX,40,340
Bourbon February 2024 Original.csv,bourbon,Well Bourbon,DBL,1,7.5
Bourbon February 2024 Original.csv,bourbon,Woodford Reserve,RX,30,614
Bourbon February 2024 Original.csv,bourbon,Woodford Reserve,DBL,4,59
Bourbon February 2024 Original.csv,bourbon,Woodford Reserve,Manhattan,15,330
Bourbon February 2024 Original.csv,bourbon,Woodford Reserve,Mix,3,39
Bourbon February 2024 Original.csv,bourbon,Total,,380,5201.25
Tequila February 2024 Original.csv,tequila,1800,Mix,6,64
Tequila February 2024 Original.csv,tequila,1800,DBL,2,20
Tequila February 2024 Original.csv,tequila,Casamigos,Mix,11,196
Tequila February 2024 Original.csv,tequila,Casamigos,Mug Dbl,2,32
Tequila February 2024 Original.csv,tequila,Casamigos,Shot,3,42
Tequila February 2024 Original.csv,tequila,Cuervo,Mix,3,30.75
Tequila February 2024 Original.csv,tequila,Cuervo,Shot,3,22.5
Tequila February 2024 Original.csv,tequila,Espolon,DBL,14,184
Tequila February 2024 Original.csv,tequila,Espolon,Mix,28,308
Tequila February 2024 Original.csv,tequila,Espolon,RX,3,54
Tequila February 2024 Original.csv,tequila,Espolon,Shot,14,126
Tequila February 2024 Original.csv,tequila,Espolon,Mug Dbl,2,20
Tequila February 2024 Original.csv,tequila,Patron,Mix,15,259
Tequila February 2024 Original.csv,tequila,Patron,RX,6,144
Tequila February 2024 Original.csv,tequila,Patron,Shot,1,14
Tequila February 2024 Original.csv,tequila,Sauza,Mug Dbl,99,753.5
Tequila February 2024 Original.csv,tequila,Sauza,Mix,7,66.5
Tequila February 2024 Original.csv,tequila,Sauza,RX,1,15
Tequila February 2024 Original.csv,tequila,Sauza,Shot,1,6.5
Tequila February 2024 Original.csv,tequila,Well Tequila,Mix,186,1405.5
Tequila February 2024 Original.csv,tequila,Well Tequila,RX,4,38
Tequila February 2024 Original.csv,tequila,Well Tequila,Mug Dbl,14,95.5
Tequila February 2024 Original.csv,tequila,Well Tequila,DBL,4,34
Tequila February 2024 Original.csv,tequila,Well Tequila,Shot,1,5.5
Tequila February 2024 Original.csv,tequila,Total,,430,3936.25
Whiskey February 2024 Original.csv,whiskey,Bulleit Rye,RX,2,33
Whiskey February 2024 Original.csv,whiskey,Bulleit Rye,Manhattan,10,200
Whiskey February 2024 Original.csv,whiskey,Bulleit Rye,Shot,2,18
Whiskey February 2024 Original.csv,whiskey,Canadian Club,RX,2,17
Whiskey February 2024 Original.csv,whiskey,Canadian Club,Manhattan,4,40
Whiskey February 2024 Original.csv,whiskey,Crown Royal,DBL,5,60
Whiskey February 2024 Original.csv,whiskey,Crown Royal,Mix,7,68.5
Whiskey February 2024 Original.csv,whiskey,Crown Royal,Manhattan,9,151
Whiskey February 2024 Original.csv,whiskey,Crown Royal,RX,13,206
Whiskey February 2024 Original.csv,whiskey,Jack Daniels,Mix,64,512
Whiskey February 2024 Original.csv,whiskey,Jack Daniels,DBL,32,285
Whiskey February 2024 Original.csv,whiskey,Jack Daniels,Mug Dbl,21,164
Whiskey February 2024 Original.csv,whiskey,Jack Daniels,RX,7,96
Whiskey February 2024 Original.csv,whiskey,Jack Daniels,Shot,4,28
Whiskey February 2024 Original.csv,whiskey,Jack Daniels,Manhattan,2,32
Whiskey February 2024 Original.csv,whiskey,Jack Fire,Shot,7,49
Whiskey February 2024 Original.csv,whiskey,Jack Fire,RX,2,28
Whiskey February 2024 Original.csv,whiskey,Jack Fire,Mix,1,8
Whiskey February 2024 Original.csv,whiskey,Jameson,Mix,27,298
Whiskey February 2024 Original.csv,whiskey,Jameson,Shot,38,330
Whiskey February 2024 Original.csv,whiskey,Jameson,RX,10,159
Whiskey February 2024 Original.csv,whiskey,Jameson,DBL,17,204
Whiskey February 2024 Original.csv,whiskey,Jameson,Manhattan,3,48
Whiskey February 2024 Original.csv,whiskey,Jim Beam Black,Shot,9,75
Whiskey February 2024 Original.csv,whiskey,Jim Beam Black,Mix,7,59.5
Whiskey February 2024 Original.csv,whiskey,Knob Rye,RX,1,18
Whiskey February 2024 Original.csv,whiskey,Old Grandad,DBL,1,8.5
Whiskey February 2024 Original.csv,whiskey,Old Grandad,Mix,6,45
Whiskey February 2024 Original.csv,whiskey,Old Grandad,RX,6,66
