Table Names,type,item,size,quantity,gross_sales
Tequila January 2024 Original.csv,tequila,1800,Mix,3,33
Tequila January 2024 Original.csv,tequila,1800,DBL,4,40
Tequila January 2024 Original.csv,tequila,Casamigos,RX,2,50
Tequila January 2024 Original.csv,tequila,Casamigos,Mix,7,122
Tequila January 2024 Original.csv,tequila,Casamigos,DBL,4,76
Tequila January 2024 Original.csv,tequila,Cuervo,Mix,7,71.75
Tequila January 2024 Original.csv,tequila,Cuervo,DBL,3,28.5
Tequila January 2024 Original.csv,tequila,Espolon,DBL,1,13
Tequila January 2024 Original.csv,tequila,Espolon,RX,1,18
Tequila January 2024 Original.csv,tequila,Espolon,Mix,26,290
Tequila January 2024 Original.csv,tequila,Espolon,Shot,1,9
Tequila January 2024 Original.csv,tequila,Patron,Mix,25,417
Tequila January 2024 Original.csv,tequila,Patron,Shot,7,91
Tequila January 2024 Original.csv,tequila,Patron,RX,5,115
Tequila January 2024 Original.csv,tequila,Patron,DBL,5,90
Tequila January 2024 Original.csv,tequila,Sauza,Mix,3,24.5
Tequila January 2024 Original.csv,tequila,Sauza,Mug Dbl,43,332.5
Tequila January 2024 Original.csv,tequila,Sauza,Shot,3,19.5
Tequila January 2024 Original.csv,tequila,Well Tequila,Mix,167,1261.75
Tequila January 2024 Original.csv,tequila,Well Tequila,Mug Dbl,3,22.75
Tequila January 2024 Original.csv,tequila,Well Tequila,DBL,2,15
Tequila January 2024 Original.csv,tequila,Well Tequila,RX,1,10.5
Tequila January 2024 Original.csv,tequila,Total,,323,3150.75
Bourbon Januarry 2024 Original.csv,bourbon,Bulleit Bourbon,RX,23,368
Bourbon Januarry 2024 Original.csv,bourbon,Bulleit Bourbon,Manhattan,10,190
Bourbon Januarry 2024 Original.csv,bourbon,Bulleit Bourbon,Shot,2,15
Bourbon Januarry 2024 Original.csv,bourbon,Bulleit Bourbon,Mix,1,10
Bourbon Januarry 2024 Original.csv,bourbon,Bulleit Bourbon,DBL,1,12
Bourbon Januarry 2024 Original.csv,bourbon,Jim Beam Black,Shot,20,162
Bourbon Januarry 2024 Original.csv,bourbon,Jim Beam Black,RX,1,13
Bourbon Januarry 2024 Original.csv,bourbon,Jim Beam Black,DBL,1,11
Bourbon Januarry 2024 Original.csv,bourbon,Jim Beam Black,Manhattan,3,48
Bourbon Januarry 2024 Original.csv,bourbon,Jim Beam Black,Mix,3,26.5
Bourbon Januarry 2024 Original.csv,bourbon,Knob Creek,RX,15,225.5
Bourbon Januarry 2024 Original.csv,bourbon,Knob Creek,DBL,2,26
Bourbon Januarry 2024 Original.csv,bourbon,Knob Creek,Manhattan,8,136
Bourbon Januarry 2024 Original.csv,bourbon,Knob Creek,Mix,3,33
Bourbon Januarry 2024 Original.csv,bourbon,Makers Mark,RX,56,896
Bourbon Januarry 2024 Original.csv,bourbon,Makers Mark,Manhattan,34,612
Bourbon Januarry 2024 Original.csv,bourbon,Makers Mark,DBL,4,52
Bourbon Januarry 2024 Original.csv,bourbon,Makers Mark,Mix,8,80
Bourbon Januarry 2024 Original.csv,bourbon,Makers Mark,Mug Dbl,1,10
Bourbon Januarry 2024 Original.csv,bourbon,Southern Comfort,DBL,1,8
Bourbon Januarry 2024 Original.csv,bourbon,Southern Comfort,Mix,6,42
Bourbon Januarry 2024 Original.csv,bourbon,Southern Comfort,Shot,1,6
Bourbon Januarry 2024 Original.csv,bourbon,Southern Comfort,Manhattan,3,36
Bourbon Januarry 2024 Original.csv,bourbon,Southern Comfort,RX,1,10
Bourbon Januarry 2024 Original.csv,bourbon,Well Bourbon,Manhattan,24,216
Bourbon Januarry 2024 Original.csv,bourbon,Well Bourbon,Mix,8,50
Bourbon Januarry 2024 Original.csv,bourbon,Well Bourbon,RX,14,119.5
Bourbon Januarry 2024 Original.csv,bourbon,Well Bourbon,DBL,4,30
Bourbon Januarry 2024 Original.csv,bourbon,Woodford Reserve,Manhattan,5,110
Bourbon Januarry 2024 Original.csv,bourbon,Woodford Reserve,Mix,1,12
Bourbon Januarry 2024 Original.csv,bourbon,Woodford Reserve,DBL,2,28
Bourbon Januarry 2024 Original.csv,bourbon,Woodford Reserve,RX,24,480
Bourbon Januarry 2024 Original.csv,bourbon,Total,,290,4073.5
Whiskey January 2024 Original.csv,whiskey,Bulleit Rye,Manhattan,7,126
Whiskey January 2024 Original.csv,whiskey,Bulleit Rye,RX,12,192
Whiskey January 2024 Original.csv,whiskey,Bulleit Rye,DBL,5,60
Whiskey January 2024 Original.csv,whiskey,Bulleit Rye,Mug Dbl,1,10
Whiskey January 2024 Original.csv,whiskey,Canadian Club,Manhattan,4,40
Whiskey January 2024 Original.csv,whiskey,Canadian Club,RX,1,8.5
Whiskey January 2024 Original.csv,whiskey,Crown Royal,Manhattan,13,208
Whiskey January 2024 Original.csv,whiskey,Crown Royal,RX,2,30
Whiskey January 2024 Original.csv,whiskey,Crown Royal,Mix,4,38
Whiskey January 2024 Original.csv,whiskey,Crown Royal,DBL,4,48
Whiskey January 2024 Original.csv,whiskey,Jack Daniels,Shot,13,91
Whiskey January 2024 Original.csv,whiskey,Jack Daniels,Mix,38,304
Whiskey January 2024 Original.csv,whiskey,Jack Daniels,DBL,31,263.5
Whiskey January 2024 Original.csv,whiskey,Jack Daniels,RX,15,195
Whiskey January 2024 Original.csv,whiskey,Jack Daniels,Mug Dbl,5,37.5
Whiskey January 2024 Original.csv,whiskey,Jack Daniels,Manhattan,1,15
Whiskey January 2024 Original.csv,whiskey,Jack Fire,DBL,4,40
Whiskey January 2024 Original.csv,whiskey,Jack Fire,RX,2,28
Whiskey January 2024 Original.csv,whiskey,Jack Fire,Shot,4,28
Whiskey January 2024 Original.csv,whiskey,Jack Fire,Mix,5,40
Whiskey January 2024 Original.csv,whiskey,Jameson,Mix,41,410
Whiskey January 2024 Original.csv,whiskey,Jameson,DBL,12,144
Whiskey January 2024 Original.csv,whiskey,Jameson,Shot,29,232
Whiskey January 2024 Original.csv,whiskey,Jameson,RX,11,165
Whiskey January 2024 Original.csv,whiskey,Jim Beam Black,Shot,15,120
Whiskey January 2024 Original.csv,whiskey,Jim Beam Black,Mix,2,17
Whiskey January 2024 Original.csv,whiskey,Jim Beam Black,Manhattan,2,32
Whiskey January 2024 Original.csv,whiskey,Knob Rye,RX,1,18
Whiskey January 2024 Original.csv,whiskey,Knob Rye,Manhattan,1,21
Whiskey January 2024 Original.csv,whiskey,Old Grandad,DBL,3,25.5
