Table Names,type,item,size,quantity,net_sales
Rum March 2023.csv,rum,Bacardi Rum,Mix,85,589.9
Rum March 2023.csv,rum,Bacardi Rum,DBL,8,64
Rum March 2023.csv,rum,Captain Morgan,Mix,77,487.85
Rum March 2023.csv,rum,Captain Morgan,DBL,47,363.84
Rum March 2023.csv,rum,Coconut Rum,Mix,136,349.8
Rum March 2023.csv,rum,Coconut Rum,RX,2,16
Rum March 2023.csv,rum,Coconut Rum,DBL,2,15.5
Rum March 2023.csv,rum,Meyers Dark,Mix,14,96
Rum March 2023.csv,rum,Well Rum,Mix,31,142.87
Rum March 2023.csv,rum,Well Rum,Shot,1,5.5
Rum March 2023.csv,rum,Well Rum,RX,1,8.5
Rum March 2023.csv,rum,Well Rum,DBL,1,0
Rum March 2023.csv,rum,Total,,405,2139.76
Tequila March 2023.csv,tequila,1800,Shot,3,22.5
Tequila March 2023.csv,tequila,Casamigos,Shot,4,48
Tequila March 2023.csv,tequila,Casamigos,DBL,3,44.97
Tequila March 2023.csv,tequila,Casamigos,RX,5,109.3
Tequila March 2023.csv,tequila,Casamigos,Mix,8,128
Tequila March 2023.csv,tequila,Cuervo,Mix,4,33.75
Tequila March 2023.csv,tequila,Espolon,Mix,20,176.32
Tequila March 2023.csv,tequila,Espolon,RX,2,32
Tequila March 2023.csv,tequila,Espolon,Shot,1,9
Tequila March 2023.csv,tequila,Espolon,DBL,1,12
Tequila March 2023.csv,tequila,Patron,Mix,21,314.13
Tequila March 2023.csv,tequila,Patron,Shot,5,64
Tequila March 2023.csv,tequila,Patron,RX,1,16.99
Tequila March 2023.csv,tequila,Patron,DBL,1,18
Tequila March 2023.csv,tequila,Sauza,Mix,88,614.95
Tequila March 2023.csv,tequila,Well Tequila,Mix,150,1046.43
Tequila March 2023.csv,tequila,Well Tequila,Shot,6,29
Tequila March 2023.csv,tequila,Well Tequila,DBL,1,7.5
Tequila March 2023.csv,tequila,Total,,324,2726.84
Bourbon March 2023.csv,bourbon,Bulleit Bourbon,RX,56,837
Bourbon March 2023.csv,bourbon,Bulleit Bourbon,DBL,2,19
Bourbon March 2023.csv,bourbon,Bulleit Bourbon,Martini,1,16
Bourbon March 2023.csv,bourbon,Bulleit Bourbon,Manhattan,12,218
Bourbon March 2023.csv,bourbon,Bulleit Bourbon,Mix,2,20
Bourbon March 2023.csv,bourbon,Jim Beam Black,Mix,9,76.5
Bourbon March 2023.csv,bourbon,Jim Beam Black,Shot,9,8
Bourbon March 2023.csv,bourbon,Jim Beam Black,DBL,5,47.5
Bourbon March 2023.csv,bourbon,Jim Beam Black,RX,9,104
Bourbon March 2023.csv,bourbon,Jim Beam Black,Manhattan,2,24
Bourbon March 2023.csv,bourbon,Knob Creek,RX,11,152.19
Bourbon March 2023.csv,bourbon,Knob Creek,Manhattan,6,89
Bourbon March 2023.csv,bourbon,Knob Creek,DBL,3,39
Bourbon March 2023.csv,bourbon,Makers Mark,RX,64,906.94
Bourbon March 2023.csv,bourbon,Makers Mark,Shot,12,96
Bourbon March 2023.csv,bourbon,Makers Mark,Mix,8,72.58
Bourbon March 2023.csv,bourbon,Makers Mark,DBL,7,82.5
Bourbon March 2023.csv,bourbon,Makers Mark,Manhattan,24,375.32
Bourbon March 2023.csv,bourbon,Southern Comfort,Manhattan,4,48
Bourbon March 2023.csv,bourbon,Southern Comfort,RX,4,40
Bourbon March 2023.csv,bourbon,Southern Comfort,Mix,2,14
Bourbon March 2023.csv,bourbon,Well Bourbon,RX,21,169.16
Bourbon March 2023.csv,bourbon,Well Bourbon,Mix,6,35.71
Bourbon March 2023.csv,bourbon,Well Bourbon,Manhattan,17,147.25
Bourbon March 2023.csv,bourbon,Well Bourbon,DBL,2,12
Bourbon March 2023.csv,bourbon,Woodford Reserve,DBL,10,121
Bourbon March 2023.csv,bourbon,Woodford Reserve,Mix,5,59
Bourbon March 2023.csv,bourbon,Woodford Reserve,RX,38,738.78
Bourbon March 2023.csv,bourbon,Woodford Reserve,Manhattan,12,260
Bourbon March 2023.csv,bourbon,Woodford Reserve,Shot,1,10
Bourbon March 2023.csv,bourbon,Total,,364,4838.43
Vodka March 2023.csv,vodka,Absolut,Martini,26,332.84
Vodka March 2023.csv,vodka,Absolut,Mix,23,167.37
Vodka March 2023.csv,vodka,Absolut,Shot,1,6
Vodka March 2023.csv,vodka,Absolut,RX,1,9.9
Vodka March 2023.csv,vodka,Absolut,DBL,9,75
Vodka March 2023.csv,vodka,Absolut Citron,Martini,61,738.08
Vodka March 2023.csv,vodka,Absolut Citron,Shot,2,14
