Table Names,type,item,size,quantity,gross_sales
Whiskey March 2024 Original.csv,whiskey,Bulleit Rye,RX,7,119
Whiskey March 2024 Original.csv,whiskey,Bulleit Rye,Manhattan,7,140
Whiskey March 2024 Original.csv,whiskey,Canadian Club,Manhattan,1,10
Whiskey March 2024 Original.csv,whiskey,Canadian Club,RX,1,8.5
Whiskey March 2024 Original.csv,whiskey,Crown Royal,Manhattan,6,102
Whiskey March 2024 Original.csv,whiskey,Crown Royal,DBL,24,288
Whiskey March 2024 Original.csv,whiskey,Crown Royal,Shot,3,27
Whiskey March 2024 Original.csv,whiskey,Crown Royal,Mix,9,90
Whiskey March 2024 Original.csv,whiskey,Crown Royal,RX,6,96
Whiskey March 2024 Original.csv,whiskey,Jack Daniels,Mug Dbl,28,232
Whiskey March 2024 Original.csv,whiskey,Jack Daniels,Shot,1,7
Whiskey March 2024 Original.csv,whiskey,Jack Daniels,Mix,59,472
Whiskey March 2024 Original.csv,whiskey,Jack Daniels,RX,4,56
Whiskey March 2024 Original.csv,whiskey,Jack Daniels,Manhattan,4,64
Whiskey March 2024 Original.csv,whiskey,Jack Daniels,DBL,19,171
Whiskey March 2024 Original.csv,whiskey,Jack Fire,DBL,2,20
Whiskey March 2024 Original.csv,whiskey,Jack Fire,Shot,12,84
Whiskey March 2024 Original.csv,whiskey,Jameson,Shot,33,297
Whiskey March 2024 Original.csv,whiskey,Jameson,Mix,19,210
Whiskey March 2024 Original.csv,whiskey,Jameson,DBL,26,312
Whiskey March 2024 Original.csv,whiskey,Jameson,RX,18,288
Whiskey March 2024 Original.csv,whiskey,Jameson,Manhattan,2,34
Whiskey March 2024 Original.csv,whiskey,Jim Beam Black,Shot,26,211
Whiskey March 2024 Original.csv,whiskey,Jim Beam Black,Mix,5,42.5
Whiskey March 2024 Original.csv,whiskey,Jim Beam Black,DBL,1,11
Whiskey March 2024 Original.csv,whiskey,Jim Beam Black,Manhattan,1,16
Whiskey March 2024 Original.csv,whiskey,Jim Beam Black,Mug Dbl,1,8.5
Whiskey March 2024 Original.csv,whiskey,Knob Rye,RX,7,128
Whiskey March 2024 Original.csv,whiskey,Knob Rye,DBL,1,13
Whiskey March 2024 Original.csv,whiskey,Old Grandad,Mug Dbl,6,50
Whiskey March 2024 Original.csv,whiskey,Old Grandad,Mix,5,37.5
Whiskey March 2024 Original.csv,whiskey,Old Grandad,DBL,2,17
Whiskey March 2024 Original.csv,whiskey,Old Grandad,RX,3,33
Whiskey March 2024 Original.csv,whiskey,Seagrams 7,Mix,14,105
Whiskey March 2024 Original.csv,whiskey,Seagrams VO,Mix,18,126
Whiskey March 2024 Original.csv,whiskey,Seagrams VO,Manhattan,10,115
Whiskey March 2024 Original.csv,whiskey,Seagrams VO,DBL,1,8
Whiskey March 2024 Original.csv,whiskey,Skrewball,Shot,2,15
Whiskey March 2024 Original.csv,whiskey,Skrewball,RX,1,12
