Table Names,type,item,size,quantity,gross_sales
Tequila November.csv,tequila,Casamigos,Mix,16,271
Tequila November.csv,tequila,Casamigos,DBL,7,133
Tequila November.csv,tequila,Casamigos,Shot,2,28
Tequila November.csv,tequila,Casamigos,RX,4,100
Tequila November.csv,tequila,Cuervo,Mix,8,80
Tequila November.csv,tequila,Cuervo,RX,1,14
Tequila November.csv,tequila,Cuervo,DBL,1,10
Tequila November.csv,tequila,Espolon,Mix,15,170
Tequila November.csv,tequila,Espolon,RX,1,18
Tequila November.csv,tequila,Espolon,DBL,1,15
Tequila November.csv,tequila,Patron,DBL,6,114
Tequila November.csv,tequila,Patron,Mix,19,326
Tequila November.csv,tequila,Patron,Shot,6,84
Tequila November.csv,tequila,Patron,RX,3,72
Tequila November.csv,tequila,Sauza,Mix,6,51
Tequila November.csv,tequila,Sauza,Mug Dbl,4,30
Tequila November.csv,tequila,Well Tequila,Mix,149,1170.25
Tequila November.csv,tequila,Well Tequila,Shot,5,27.5
Tequila November.csv,tequila,Well Tequila,DBL,20,178
Tequila November.csv,tequila,Well Tequila,Mug Dbl,6,39.5
Tequila November.csv,tequila,Total,,280,2931.25
Gin November.csv,gin,Bombay Saphire,Martini,13,224
Gin November.csv,gin,Bombay Saphire,Mix,15,150
Gin November.csv,gin,Bombay Saphire,Mug Dbl,3,31
Gin November.csv,gin,Bombay Saphire,DBL,5,60
Gin November.csv,gin,Hendricks,Martini,19,401
Gin November.csv,gin,Hendricks,Mix,8,80
Gin November.csv,gin,Hendricks,DBL,1,13
Gin November.csv,gin,Tanqueray,Mix,81,850.5
Gin November.csv,gin,Tanqueray,DBL,7,84
Gin November.csv,gin,Tanqueray,Martini,14,254
Gin November.csv,gin,Tanqueray,Mug Dbl,10,108
Gin November.csv,gin,Tanqueray,RX,3,45
Gin November.csv,gin,Well Gin,Mix,79,494.75
Gin November.csv,gin,Well Gin,Martini,15,136.5
Gin November.csv,gin,Well Gin,RX,4,42
Gin November.csv,gin,Well Gin,Shot,1,5.5
Gin November.csv,gin,Well Gin,Mug Dbl,5,32.25
Gin November.csv,gin,Total,,283,3011.5
Bourbon November.csv,bourbon,Basil Hayden,Shot,1,13
Bourbon November.csv,bourbon,Basil Hayden,DBL,5,80
Bourbon November.csv,bourbon,Basil Hayden,RX,32,640
Bourbon November.csv,bourbon,Basil Hayden,Mix,1,13.5
Bourbon November.csv,bourbon,Basil Hayden,Manhattan,2,46
Bourbon November.csv,bourbon,Bulleit Bourbon,RX,52,886.5
Bourbon November.csv,bourbon,Bulleit Bourbon,Manhattan,14,280
Bourbon November.csv,bourbon,Jim Beam Black,Shot,17,136
