Table Names,type,gross_sale,item,size,quantity,gross_sales
Gin October.csv,gin,,Bombay Saphire,Martini,16,275.5
Gin October.csv,gin,,Bombay Saphire,Mix,28,280
Gin October.csv,gin,,Bombay Saphire,Mug Dbl,3,30
Gin October.csv,gin,,Bombay Saphire,DBL,3,36
Gin October.csv,gin,,Bombay Saphire,RX,1,16
Gin October.csv,gin,,Hendricks,Mix,8,80
Gin October.csv,gin,,Hendricks,Martini,12,253
Gin October.csv,gin,,Hendricks,DBL,1,13
Gin October.csv,gin,,Tanqueray,Mug Dbl,17,180.5
Gin October.csv,gin,,Tanqueray,Mix,101,1060.5
Gin October.csv,gin,,Tanqueray,Martini,15,272
Gin October.csv,gin,,Tanqueray,DBL,5,60
Gin October.csv,gin,,Well Gin,Mix,42,266.5
Gin October.csv,gin,,Well Gin,Martini,15,141
Gin October.csv,gin,,Well Gin,Shot,4,22
Gin October.csv,gin,,Well Gin,DBL,4,31
Gin October.csv,gin,,Total,,275,3017
Rum October.csv,rum,,Bacardi Rum,Mix,21,148
Rum October.csv,rum,,Bacardi Rum,Mug Dbl,20,140
Rum October.csv,rum,,Bacardi Rum,DBL,1,8
Rum October.csv,rum,,Captain Morgan,Mix,136,952
Rum October.csv,rum,,Captain Morgan,DBL,27,216
Rum October.csv,rum,,Coconut Rum,Mix,64,450
Rum October.csv,rum,,Coconut Rum,Shot,1,6
Rum October.csv,rum,,Coconut Rum,DBL,2,16.5
Rum October.csv,rum,,Meyers Dark,Mix,10,65
Rum October.csv,rum,,Well Rum,Mix,26,176.52
Rum October.csv,rum,,Well Rum,Shot,1,5.5
Rum October.csv,rum,,Well Rum,DBL,2,15
Rum October.csv,rum,,Total,,311,2198.52
Vodka October.csv,vodka,,Absolut Citron,Mug Dbl,12,98
Vodka October.csv,vodka,,Absolut Citron,Martini,42,626
Vodka October.csv,vodka,,Absolut Citron,Shot,5,36
Vodka October.csv,vodka,,Absolut Citron,Mix,5,40
Vodka October.csv,vodka,,Absolut Citron,DBL,2,18
Vodka October.csv,vodka,,Cherry Vodka,Mug Dbl,1,7
Vodka October.csv,vodka,,Cherry Vodka,Mix,4,28
Vodka October.csv,vodka,,Grey Goose,Martini,83,1520.5
Vodka October.csv,vodka,,Grey Goose,Mix,45,482.5
Vodka October.csv,vodka,,Grey Goose,DBL,5,65
Vodka October.csv,vodka,,Grey Goose,RX,13,208
Vodka October.csv,vodka,,Grey Goose,Mug Dbl,4,42
Vodka October.csv,vodka,,Grey Goose,Shot,1,10
Vodka October.csv,vodka,,Ketel One,Martini,80,1329.68
Vodka October.csv,vodka,,Ketel One,Mix,56,539
Vodka October.csv,vodka,,Ketel One,RX,7,105
Vodka October.csv,vodka,,Ketel One,Mug Dbl,43,410.5
Vodka October.csv,vodka,,Ketel One,DBL,2,23
Vodka October.csv,vodka,,Mango Vodka,Mix,3,21
Vodka October.csv,vodka,,Orange Vodka,DBL,6,49.5
Vodka October.csv,vodka,,Orange Vodka,Mix,6,42
Vodka October.csv,vodka,,Orange Vodka,Martini,12,127
Vodka October.csv,vodka,,Pomegranate Vodka,Martini,3,31
Vodka October.csv,vodka,,Raspberry Vodka,Martini,5,54
Vodka October.csv,vodka,,Raspberry Vodka,Mix,2,15
Vodka October.csv,vodka,,Tito's,Mug Dbl,23,186
Vodka October.csv,vodka,,Tito's,DBL,68,646
Vodka October.csv,vodka,,Tito's,Mix,246,2018
Vodka October.csv,vodka,,Tito's,Martini,133,1961
Vodka October.csv,vodka,,Tito's,Shot,3,21
Vodka October.csv,vodka,,Tito's,RX,40,480
Vodka October.csv,vodka,,Vanilla Vodka,Martini,202,2392
Vodka October.csv,vodka,,Vanilla Vodka,Mix,8,57
Vodka October.csv,vodka,,Vanilla Vodka,Mug Dbl,1,8
Vodka October.csv,vodka,,Vanilla Vodka,DBL,1,8.25
Vodka October.csv,vodka,,Well Vodka,Mix,236,1601
Vodka October.csv,vodka,,Well Vodka,Martini,106,1071
Vodka October.csv,vodka,,Well Vodka,RX,13,119.5
Vodka October.csv,vodka,,Well Vodka,DBL,17,127.5
Vodka October.csv,vodka,,Well Vodka,Mug Dbl,16,116
Vodka October.csv,vodka,,Total,,1560,16739.93
