Table Names,item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
Entrees April 2024.csv,Baked Potato,,FOOD,,281,4.5,4.5,,,
Entrees April 2024.csv,Crab Cakes,,BANQUETS,,3,48,48,,,
Entrees April 2024.csv,French Fries,,FOOD,,42,87,87,30.93,56.07,56.07
Entrees April 2024.csv,Jumbo Lump Crab Cakes,,FOOD,,82,3044.92,3116,1108.08,1936.84,2007.92
Entrees April 2024.csv,Jumbo Sea Scallops,,FOOD,,137,3909.06,3968,1323.02,2586.04,2644.98
Entrees April 2024.csv,Linguine & Clams,,FOOD,,153,2907.1,3061,853.74,2053.36,2207.26
Entrees April 2024.csv,New York Strip Steak,,FOOD,,190,6137.06,6306.5,2009.77,4127.29,4296.73
Entrees April 2024.csv,Petite Filet,,FOOD,,255,7521.99,7752.75,1847.05,5674.94,5905.7
Entrees April 2024.csv,Prime Pork Chop,,FOOD,,142,4344.6,4566.5,1417.2,2927.4,3149.3
Entrees April 2024.csv,Side Applesauce,,FOOD,,10,0,0,,,
Entrees April 2024.csv,Side Baked Pot,,FOOD,,29,87,87,,,
Entrees April 2024.csv,Side Caesar Salad,,FOOD,,10,0,0,15.9,0,0
Entrees April 2024.csv,Side Garden Salad,,FOOD,,10,0,0,15.9,0,0
Entrees April 2024.csv,Side Spinach,,FOOD,,20,57,57,,,
Entrees April 2024.csv,Side Veg,,FOOD,,153,0,0,,,
Entrees April 2024.csv,Steak & Cake,,FOOD,,23,1021.61,1047.5,328.21,693.4,719.29
Entrees April 2024.csv,Steak Frites,,FOOD,,196,4509.09,4712,1173.63,3335.46,3538.37
Entrees April 2024.csv,Surf & Turf,,FOOD,,23,1086.49,1104.5,,,
Entrees April 2024.csv,Sweet Fries,,FOOD,,18,54,54,29.88,24.12,24.12
Entrees April 2024.csv,Teriyaki Salmon,,FOOD,,217,5491.87,5654.5,1388.67,4103.2,4265.83
Entrees April 2024.csv,Twin Lobster Tails,,FOOD,,1,42,42,,,
Entrees April 2024.csv,Two Petite Filets,,FOOD,,1,55,55,,,
Entrees April 2024.csv,Veal Baltimore,,FOOD,,2,46,62,,,
Entrees April 2024.csv,Total,,,,1998,40454.29,41785.75,11541.98,,
Sandwiches April 2024.csv,Adult Grilled Cheese,,FOOD,,4,46,46.5,,,
Sandwiches April 2024.csv,BLT,,FOOD,,4,54,54,,,
Sandwiches April 2024.csv,Baked Potato,,FOOD,,10,0,0,,,
Sandwiches April 2024.csv,Bison Burger,,FOOD,,7,104,112,35.91,68.09,76.09
Sandwiches April 2024.csv,Buffalo Chicken Sandwich,,FOOD,,3,37.5,45,,,
Sandwiches April 2024.csv,Chicken Burger,,FOOD,,100,1444.65,1641.25,500,944.65,1141.25
Sandwiches April 2024.csv,Chicken Cutlet Club,,FOOD,,249,3529.9,3771.5,768.09,2761.81,3003.41
Sandwiches April 2024.csv,Chicken Parmesan Sandwich,,FOOD,,19,177.38,266,,,
Sandwiches April 2024.csv,Chicken Salad Pita,,FOOD,,286,4401.95,4574.5,906.97,3494.98,3667.53
Sandwiches April 2024.csv,Crab Cake Sandwich,,FOOD,,297,5180.6,5370.5,2283.38,2897.22,3087.12
Sandwiches April 2024.csv,French Dip,,FOOD,,335,6420.39,6714.25,2540.85,3879.54,4173.4
Sandwiches April 2024.csv,French Fries,,FOOD,,522,911,911,386.73,524.27,524.27
Sandwiches April 2024.csv,Honey Mustard Chicken Wrap,,FOOD,,311,4042.54,4674.5,854.75,3187.79,3819.75
Sandwiches April 2024.csv,Loaded Fries,,FOOD,,2,7.5,7.5,,,
Sandwiches April 2024.csv,Lobster Roll,,FOOD,,205,5017.85,5134,2525.6,2492.25,2608.4
Sandwiches April 2024.csv,Onion Petals,,FOOD,,27,81,81,102.93,-21.93,-21.93
Sandwiches April 2024.csv,Side Applesauce,,FOOD,,3,0,0,,,
Sandwiches April 2024.csv,Side Caesar Salad,,FOOD,,15,0,0,23.85,0,0
Sandwiches April 2024.csv,Side Garden Salad,,FOOD,,40,0,0,63.6,0,0
Sandwiches April 2024.csv,Side Spinach,,FOOD,,1,1,1,,,
Sandwiches April 2024.csv,Side Veg,,FOOD,,27,0,0,,,
Sandwiches April 2024.csv,Sweet Fries,,FOOD,,315,771,771,522.9,248.1,248.1
Sandwiches April 2024.csv,The Smokehouse Burger,,FOOD,,432,7533.06,7785.5,1967.52,5565.54,5817.98
