Table Names,item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
Entrees January 2024.csv,Baked Potato,,FOOD,,366,2,2,,,
Entrees January 2024.csv,Crab Cakes,,BANQUETS,,5,90,90,,,
Entrees January 2024.csv,French Fries,,FOOD,,39,79,79,39,40,40
Entrees January 2024.csv,Jumbo Lump Crab Cakes,,FOOD,,61,2394.02,2440,989.42,1404.6,1450.58
Entrees January 2024.csv,Jumbo Sea Scallops,,FOOD,,190,5264.1,5320,1816.4,3447.7,3503.6
Entrees January 2024.csv,Linguine & Clams,,FOOD,,47,2026.48,2070,657.06,1369.42,1412.94
Entrees January 2024.csv,New York Strip Steak,,FOOD,,170,5652.86,5789.5,1725.5,3927.36,4064
Entrees January 2024.csv,Petite Filet,,FOOD,,213,6236.05,6456.5,1578.33,4657.72,4878.17
Entrees January 2024.csv,Prime Pork Chop,,FOOD,,126,3909.79,4038,1362.06,2547.73,2675.94
Entrees January 2024.csv,Side Applesauce,,FOOD,,19,0,0,,,
Entrees January 2024.csv,Side Baked Pot,,FOOD,,17,51,51,,,
Entrees January 2024.csv,Side Broccoli,,FOOD,,2,0,0,,,
Entrees January 2024.csv,Side Caesar Salad,,FOOD,,10,0,0,,,
Entrees January 2024.csv,Side Garden Salad,,FOOD,,10,0,0,12.3,0,0
Entrees January 2024.csv,Side Spinach,,FOOD,,20,60,60,,,
Entrees January 2024.csv,Side Veg,,FOOD,,133,0,0,,,
Entrees January 2024.csv,Steak & Cake,,FOOD,,21,962.97,1008,299.67,663.3,708.33
Entrees January 2024.csv,Steak Frites,,FOOD,,99,2908.53,2972,953.37,1955.16,2018.63
Entrees January 2024.csv,Surf & Turf,,FOOD,,10,518.51,520,128.9,389.61,391.1
Entrees January 2024.csv,Sweet Fries,,FOOD,,17,51,51,28.22,22.78,22.78
Entrees January 2024.csv,Teriyaki Salmon,,FOOD,,207,5397.95,5592,1463.49,3934.46,4128.51
Entrees January 2024.csv,Twin Lobster Tails,,FOOD,,3,129,129,,,
Entrees January 2024.csv,Two Petite Filets,,FOOD,,4,220.62,232,,,
Entrees January 2024.csv,Veal Baltimore,,FOOD,,3,92.61,93.5,,,
Entrees January 2024.csv,Veal Scoglio,,FOOD,,69,2346.71,2437,883.2,1463.51,1553.8
Entrees January 2024.csv,Total,,,,1861,38393.2,39430.5,11936.92,,
Tavern January 2024.csv,Adult Pasta,,FOOD,,7,101,131,,,
Tavern January 2024.csv,Baked Potato,,FOOD,,125,0,0,,,
Tavern January 2024.csv,Chicken Marsala,,FOOD,,11,200,220,,,
Tavern January 2024.csv,Chicken Parmigiana,,FOOD,,377,7208.76,7570.5,2073.5,5135.26,5497
Tavern January 2024.csv,Chicken Pot Pie,,FOOD,,381,5897.01,6096,,,
Tavern January 2024.csv,French Fries,,FOOD,,28,54,54,28,26,26
Tavern January 2024.csv,Jaeger Schnitzel,,FOOD,,325,6936.08,7160.5,1088.75,5847.33,6071.75
Tavern January 2024.csv,Meatloaf,,FOOD,,231,3656.95,3699,,,
Tavern January 2024.csv,Sautéed Liver,,FOOD,,2,48,48,,,
Tavern January 2024.csv,Shrimp Kabobs,,FOOD,,164,2841.69,2952,810.16,2031.53,2141.84
Tavern January 2024.csv,Side Applesauce,,FOOD,,7,0,0,,,
Tavern January 2024.csv,Side Baked Pot,,FOOD,,1,3,3,,,
Tavern January 2024.csv,Side Broccoli,,FOOD,,4,0,0,,,
Tavern January 2024.csv,Side Caesar Salad,,FOOD,,4,0,0,,,
Tavern January 2024.csv,Side Garden Salad,,FOOD,,15,0,0,18.45,0,0
Tavern January 2024.csv,Side Spinach,,FOOD,,6,18,18,,,
Tavern January 2024.csv,Side Veg,,FOOD,,142,0,0,,,
