Table Names,item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
salads july.csv,Caesar Salad,,FOOD,252,4596.47,4882,997.92,3598.55,3884.08
salads july.csv,Chimichurri Steak Salad,,FOOD,182,3725.32,3833,1532.44,2192.88,2300.56
salads july.csv,Crab Cakes,,BANQUETS,16,256,256,,,
salads july.csv,Cranberry Quinoa Salad,,FOOD,160,2840.22,2922,352,2488.22,2570
salads july.csv,Fajita Salad,,FOOD,198,3477.56,3602,1003.86,2473.7,2598.14
salads july.csv,French Onion Soup,,FOOD,250,1909.05,2001,,,
salads july.csv,Gazpacho,Bowl,FOOD,10,98.35,100,,,
salads july.csv,Gazpacho,Cup,FOOD,10,73.05,74,,,
salads july.csv,Gazpacho,,FOOD,7,70,70,,,
salads july.csv,House Salad,,FOOD,30,520.99,602,,,
salads july.csv,New York Strip Steak,,FOOD,21,336,336,222.18,113.82,113.82
salads july.csv,Petite Filet,,FOOD,3,60,60,21.72,38.28,38.28
salads july.csv,Side Caesar Salad,,FOOD,155,1258.82,1319,246.45,1012.37,1072.55
salads july.csv,Side Garden Salad,,FOOD,187,1494.25,1564,297.33,1196.92,1266.67
salads july.csv,Soup Du Jour,Cup,FOOD,137,656.7,685,,,
salads july.csv,Soup Du Jour,Bowl,FOOD,42,269.42,294,,,
salads july.csv,Sub Caesar 1st,,FOOD,3,0,0,,,
salads july.csv,Sub House 1st,,FOOD,7,0,0,,,
salads july.csv,Wedge Salad,,FOOD,308,4822.26,5001,668.36,4153.9,4332.64
salads july.csv,Total,,,1978,26464.46,27601,5342.26,,
entrees july.csv,Baked Potato,,FOOD,278,2,2,,,
entrees july.csv,Crab Cakes,,BANQUETS,6,96,96,,,
entrees july.csv,French Fries,,FOOD,47,90,90,34.31,55.69,55.69
entrees july.csv,Jumbo Lump Crab Cakes,,FOOD,98,3643.93,3725.5,1340.64,2303.29,2384.86
entrees july.csv,Jumbo Sea Scallops,,FOOD,117,3352.73,3393.5,1139.58,2213.15,2253.92
entrees july.csv,Linguine & Clams,,FOOD,174,3399.97,3480,970.92,2429.05,2509.08
entrees july.csv,New York Strip Steak,,FOOD,161,5166.84,5439.5,1703.38,3463.46,3736.12
entrees july.csv,Petite Filet,,FOOD,199,5957.71,6050.25,1440.76,4516.95,4609.49
entrees july.csv,Prime Pork Chop,,FOOD,117,3629.69,3745,1164.15,2465.54,2580.85
entrees july.csv,Side Applesauce,,FOOD,13,0,0,,,
entrees july.csv,Side Baked Pot,,FOOD,11,33,33,,,
entrees july.csv,Side Caesar Salad,,FOOD,9,0,0,14.31,0,0
entrees july.csv,Side Garden Salad,,FOOD,13,0,0,20.67,0,0
entrees july.csv,Side Spinach,,FOOD,9,27,27,,,
entrees july.csv,Side Veg,,FOOD,150,0,0,,,
entrees july.csv,Steak & Cake,,FOOD,20,894.76,903,285.4,609.36,617.6
entrees july.csv,Steak Frites,,FOOD,182,4239.01,4369,1092,3147.01,3277
entrees july.csv,Surf & Turf,,FOOD,21,971.88,1008,,,
entrees july.csv,Sweet Fries,,FOOD,15,45,45,24.9,20.1,20.1
entrees july.csv,Teriyaki Salmon,,FOOD,215,5369.13,5593.5,1373.85,3995.28,4219.65
entrees july.csv,Twin Lobster Tails,,FOOD,3,126,126,,,
entrees july.csv,Two Petite Filets,,FOOD,6,314.24,330,,,
entrees july.csv,Total,,,1864,37358.89,38456.25,10604.87,,
tavern july.csv,Adult Pasta,,FOOD,17,201.21,273.5,,,
tavern july.csv,BBQ Chicken,,FOOD,91,1595.84,1639,398.58,1197.26,1240.42
tavern july.csv,Baked Potato,,FOOD,95,0,0,,,
tavern july.csv,Chicken Marsala,,FOOD,10,190,200,,,
tavern july.csv,Chicken Parmigiana,,FOOD,388,7397.19,7801.5,1742.12,5655.07,6059.38
tavern july.csv,Chicken Pot Pie,,FOOD,300,4711.6,4800,1314,3397.6,3486
tavern july.csv,Eggplant Parmigiana,,FOOD,144,2236.55,2307,362.88,1873.67,1944.12
tavern july.csv,French Fries,,FOOD,94,34,34,68.62,-34.62,-34.62
