Table Names,item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
Tavern March 2024.csv,Adult Pasta,,FOOD,,16,195.78,276,,,
Tavern March 2024.csv,Baked Potato,,FOOD,,142,0,0,,,
Tavern March 2024.csv,Chicken Baltimore,,FOOD,,3,64,75,,,
Tavern March 2024.csv,Chicken Marsala,,FOOD,,25,493.98,500,,,
Tavern March 2024.csv,Chicken Parmigiana,,FOOD,,489,9454.07,9825.5,2689.5,6764.57,7136
Tavern March 2024.csv,Chicken Pot Pie,,FOOD,,375,5791.96,6000,,,
Tavern March 2024.csv,French Fries,,FOOD,,45,88,88,45,43,43
Tavern March 2024.csv,Jaeger Schnitzel,,FOOD,,348,7509.1,7664,1165.8,6343.3,6498.2
Tavern March 2024.csv,Meatloaf,,FOOD,,233,3646.92,3728,,,
Tavern March 2024.csv,Sautéed Liver,,FOOD,,2,48,48,,,
Tavern March 2024.csv,Shrimp Kabobs,,FOOD,,217,3785.65,3908,1071.98,2713.67,2836.02
Tavern March 2024.csv,Side Applesauce,,FOOD,,18,0,0,,,
Tavern March 2024.csv,Side Baked Pot,,FOOD,,2,6,6,,,
Tavern March 2024.csv,Side Broccoli,,FOOD,,3,0,0,,,
Tavern March 2024.csv,Side Caesar Salad,,FOOD,,6,0,0,,,
Tavern March 2024.csv,Side Garden Salad,,FOOD,,7,0,0,8.61,0,0
Tavern March 2024.csv,Side Spinach,,FOOD,,12,35,35,,,
Tavern March 2024.csv,Side Veg,,FOOD,,141,0,0,,,
Tavern March 2024.csv,Sweet Fries,,FOOD,,14,42,42,23.24,18.76,18.76
Tavern March 2024.csv,Veal Marsala,,FOOD,,6,133,145,,,
Tavern March 2024.csv,Vegetable Stir Fry,,FOOD,,383,5745.53,6130,,,
Tavern March 2024.csv,Total,,,,2487,37038.99,38470.5,5004.13,,
Entrees March 2024.csv,Baked Potato,,FOOD,,419,4.5,4.5,,,
Entrees March 2024.csv,Crab Cakes,,BANQUETS,,5,90,90,,,
Entrees March 2024.csv,French Fries,,FOOD,,59,118,118,59,59,59
Entrees March 2024.csv,Jumbo Lump Crab Cakes,,FOOD,,94,3684.49,3763.5,1524.68,2159.81,2238.82
Entrees March 2024.csv,Jumbo Sea Scallops,,FOOD,,243,6566.91,6806,2323.08,4243.83,4482.92
Entrees March 2024.csv,Linguine & Clams,,FOOD,,55,2318.54,2420.5,768.9,1549.64,1651.6
Entrees March 2024.csv,Loaded Fries,,FOOD,,1,3.5,3.5,,,
Entrees March 2024.csv,New York Strip Steak,,FOOD,,209,6909.71,7145.5,2121.35,4788.36,5024.15
Entrees March 2024.csv,Petite Filet,,FOOD,,246,7306.08,7481,1822.86,5483.22,5658.14
Entrees March 2024.csv,Prime Pork Chop,,FOOD,,156,4921.06,4994,1686.36,3234.7,3307.64
Entrees March 2024.csv,Side Applesauce,,FOOD,,19,0,0,,,
Entrees March 2024.csv,Side Baked Pot,,FOOD,,13,39,39,,,
Entrees March 2024.csv,Side Broccoli,,FOOD,,2,0,0,,,
Entrees March 2024.csv,Side Caesar Salad,,FOOD,,8,0,0,,,
Entrees March 2024.csv,Side Garden Salad,,FOOD,,10,0,0,12.3,0,0
Entrees March 2024.csv,Side Spinach,,FOOD,,26,77,77,,,
Entrees March 2024.csv,Side Veg,,FOOD,,194,2,2,,,
Entrees March 2024.csv,Steak & Cake,,FOOD,,20,952.93,961,285.4,667.53,675.6
Entrees March 2024.csv,Steak Frites,,FOOD,,102,2950.47,3080,982.26,1968.21,2097.74
Entrees March 2024.csv,Surf & Turf,,FOOD,,18,931.63,937,232.02,699.61,704.98
Entrees March 2024.csv,Sweet Fries,,FOOD,,16,48,48,26.56,21.44,21.44
Entrees March 2024.csv,Teriyaki Salmon,,FOOD,,216,5739.69,5849,1527.12,4212.57,4321.88
Entrees March 2024.csv,Twin Lobster Tails,,FOOD,,1,43,43,,,
Entrees March 2024.csv,Two Petite Filets,,FOOD,,6,328,348,,,
Entrees March 2024.csv,Veal Scoglio,,FOOD,,69,2347.14,2415,883.2,1463.94,1531.8
Entrees March 2024.csv,Total,,,,2207,45381.65,46625.5,14255.09,,
Salads March 2024.csv,Caesar Salad,,FOOD,,269,4540.93,4852.5,,,
Salads March 2024.csv,Chili,Cup,FOOD,,52,312.62,315.5,,,
Salads March 2024.csv,Chili,Bowl,FOOD,,51,397.01,413.5,,,
Salads March 2024.csv,Chimichurri Steak Salad,,FOOD,,131,2684.68,2769,889.49,1795.19,1879.51
Salads March 2024.csv,Crab Cakes,,BANQUETS,,16,288,288,,,
Salads March 2024.csv,Cranberry Quinoa Salad,,FOOD,,241,4226.87,4499,1060.4,3166.47,3438.6
Salads March 2024.csv,Fajita Salad,,FOOD,,267,5231.18,5470,752.94,4478.24,4717.06
Salads March 2024.csv,Fall Harvest Salad,,FOOD,,178,3584.06,3825,662.16,2921.9,3162.84
Salads March 2024.csv,French Fries,,FOOD,,1,2,2,1,1,1
Salads March 2024.csv,French Onion Soup,,FOOD,,480,3745.38,3840,,,
Salads March 2024.csv,House Salad,,FOOD,,28,436.61,468,,,
Salads March 2024.csv,New York Strip Steak,,FOOD,,24,434,434,243.6,190.4,190.4
Salads March 2024.csv,Petite Filet,,FOOD,,3,69,69,22.23,46.77,46.77
Salads March 2024.csv,Seafood Soup,Cup,FOOD,,70,542.33,560,,,
Salads March 2024.csv,Seafood Soup,Bowl,FOOD,,33,325.46,330,,,
Salads March 2024.csv,Side Caesar Salad,,FOOD,,144,1325.69,1395,,,
