hour,quantity,seats,guests,net_sales,percent
8:00 AM,2,0,2,0,0
9:00 AM,1,0,1,17.5,0
10:00 AM,41,0,66,2111.98,0.0051
11:00 AM,109,6,268,7323.67,0.0177
12:00 PM,239,40,480,13791.45,0.0333
1:00 PM,471,122,1235,36151.96,0.0873
2:00 PM,355,109,1063,33377.53,0.0806
3:00 PM,317,37,785,31159.43,0.0752
4:00 PM,314,21,605,19006.36,0.0459
5:00 PM,495,44,934,33192.69,0.0801
6:00 PM,753,169,1674,57290.4,0.1383
7:00 PM,802,173,2043,75174.42,0.1814
8:00 PM,774,193,1718,67178.52,0.1621
9:00 PM,434,78,706,30078.42,0.0726
10:00 PM,188,14,203,7553.42,0.0182
11:00 PM,32,0,33,917.87,0.0022
Total,5327,1006,11816,414325.62,1
