hour,quantity,seats,guests,net_sales,percent
8:00 AM,1,0,1,560,0.0013
9:00 AM,3,0,1,0,0
10:00 AM,38,0,44,13369.67,0.0313
11:00 AM,106,1,215,7742.63,0.0181
12:00 PM,273,37,509,14370.49,0.0336
1:00 PM,461,119,1154,35368.06,0.0827
2:00 PM,434,79,1054,37463.26,0.0876
3:00 PM,369,22,899,30371.71,0.071
4:00 PM,289,10,524,22759.57,0.0532
5:00 PM,535,43,938,33072.64,0.0774
6:00 PM,792,98,1673,61678.56,0.1443
7:00 PM,728,133,1665,66910.22,0.1565
8:00 PM,758,169,1691,70109.7,0.164
9:00 PM,417,52,626,26262.17,0.0614
10:00 PM,174,3,173,7030.69,0.0164
11:00 PM,24,6,24,423.75,0.001
Total,5402,772,11191,427493.12,1
