hour,quantity,seats,guests,net_sales,percent
9:00 AM,5,0,21,5780,0.0141
10:00 AM,36,0,60,1404.42,0.0034
11:00 AM,110,1,285,8971.77,0.0219
12:00 PM,253,34,523,15122.72,0.0369
1:00 PM,461,125,1227,36658.46,0.0894
2:00 PM,401,80,1069,34446.54,0.084
3:00 PM,338,26,917,31949.19,0.0779
4:00 PM,300,20,534,20326.32,0.0496
5:00 PM,528,63,954,37331.05,0.0911
6:00 PM,663,76,1368,50667.18,0.1236
7:00 PM,680,96,1601,64499.32,0.1573
8:00 PM,692,153,1716,64889.96,0.1583
9:00 PM,380,52,599,33362.93,0.0814
10:00 PM,111,18,133,3978.27,0.0097
11:00 PM,13,0,13,587.05,0.0014
Total,4971,744,11020,409975.18,1
