hour,quantity,seats,guests,net_sales,percent
7:00 AM,1,0,1,0,0
8:00 AM,1,0,1,0,0
9:00 AM,3,0,3,0,0
10:00 AM,43,0,122,6166.98,0.0137
11:00 AM,103,4,305,8410.66,0.0186
12:00 PM,243,46,524,14699.51,0.0326
1:00 PM,415,107,986,27267.87,0.0604
2:00 PM,413,59,1047,35605.28,0.0789
3:00 PM,351,31,858,32025.26,0.071
4:00 PM,334,22,693,25892.8,0.0574
5:00 PM,542,61,963,35866.13,0.0795
6:00 PM,833,157,1859,62881.8,0.1393
7:00 PM,865,222,2128,80205.13,0.1777
8:00 PM,820,153,1821,78731.98,0.1745
9:00 PM,431,46,668,36084.13,0.08
10:00 PM,206,39,241,6674.2,0.0148
11:00 PM,32,1,32,787.5,0.0017
Total,5636,948,12252,451299.23,1
