item,size,category,sku,quantity,net_sales,gross,cost,net_margin,gross_margin
$20 Bar Package,,BANQUETS,,26,452.73,520,,,
$22 Ala Carte,,BANQUETS,,208,3255.41,4576,,,
$25 Buffet,,BANQUETS,,334,7114.77,8350,,,
$27 Ala Carte,,BANQUETS,,18,347.93,486,,,
$28 Buffet,,BANQUETS,,32,746.17,896,,,
$3 Appetizer,,BANQUETS,,255,714.83,765,,,
$30 Buffet,,BANQUETS,,114,2855.23,3420,,,
$37 Ala Carte,,BANQUETS,,78,2549.4,2886,,,
$4 Appetizer,,BANQUETS,,45,180,180,,,
$4 Champagne Toast,,BANQUETS,,56,188.73,224,,,
$40 Ala Carte,,BANQUETS,,51,1821.42,2040,,,
$45 Buffet,,BANQUETS,,78,3146.74,3510,,,
$48 Buffet,,BANQUETS,,32,1371.46,1536,,,
$53 Buffet,,BANQUETS,,33,1749,1749,,,
1800,Mix,LIQUOR,,12,117.36,121,,,
2 Room Suite,,HOTEL ROOMS,,8,1640,1640,,,
Absolut,Martini,LIQUOR,,22,318.52,322,66,252.52,256
Absolut,RX,LIQUOR,,2,24,24,4.8,19.2,19.2
Absolut,Mix,LIQUOR,,18,141.59,148,27,114.59,121
Absolut,DBL,LIQUOR,,2,18,18,3.8,14.2,14.2
Absolut Citron,Martini,LIQUOR,,56,769.75,830,,,
Absolut Citron,DBL,LIQUOR,,9,81,81,,,
Adult Brunch,,FOOD,,1032,23639.46,24768,,,
Adult Grilled Cheese,,FOOD,,4,46,46.5,,,
Adult Pasta,,FOOD,,18,209.81,301,,,
Amaretto,Mix,LIQUOR,,5,30.5,32.5,7.5,23,25
Amaretto,RX,LIQUOR,,2,18,18,4.8,13.2,13.2
Amaretto,DBL,LIQUOR,,1,8,8,1.9,6.1,6.1
Amaretto Di Sarona,Shot,LIQUOR,,1,7.14,9,0.8,6.34,8.2
Amaretto Di Sarona,DBL,LIQUOR,,1,6.23,12,1.9,4.33,10.1
Amaretto Di Sarona,Mix,LIQUOR,,6,57,60,9,48,51
Amaro-Averno,,LIQUOR,,2,24,24,,,
Aperol Spritz,,LIQUOR,,17,165.23,170,,,
Apple Crisp,,FOOD,,184,1522.63,1668,,,
Apple Juice,,BEVERAGES,,29,89.88,94.25,,,
Apricot Sour,,LIQUOR,,2,12,12,,,
B&B,RX,LIQUOR,,2,32.69,34,,,
BBQ Chicken,,FOOD,,93,1624.1,1674,402.96,1221.14,1271.04
BLT,,FOOD,,4,54,54,,,
BNI,,FOOD,,283,3758.21,3758.24,,,
Baby Guiness,,LIQUOR,,1,8,8,,,
Bacardi Rum,DBL,LIQUOR,,2,16,16,,,
Bacardi Rum,Mix,LIQUOR,,33,224.37,241,,,
Bacardi Rum,Mug Dbl,LIQUOR,,53,369,388,,,
Bailey's,Mix,LIQUOR,,15,126.93,135,22.5,104.43,112.5
Bailey's,DBL,LIQUOR,,5,54.47,55,9.5,44.97,45.5
Bailey's,RX,LIQUOR,,4,39,52,9.6,29.4,42.4
Bailey's,Shot,LIQUOR,,8,64,64,6.4,57.6,57.6
Baked Potato,,FOOD,,590,6.5,6.5,,,
Bay Fries,,FOOD,,2,14,14,,,
Beefeater Gin,Martini,LIQUOR,,14,209,229,,,
Beefeater Gin,Shot,LIQUOR,,2,16,16,,,
Beefeater Gin,Mix,LIQUOR,,11,93,99,,,
Beer Bucket Craft,,BTL BEER,,2,36,36,,,
