item,size,category,sku,quantity,net_sales,gross,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,,27,248.65,324,,,
$22 Ala Carte,,BANQUETS,,168,3041.44,3696,,,
$25 Buffet,,BANQUETS,,383,7656.67,9575,,,
$27 Ala Carte,,BANQUETS,,7,189,189,,,
$28 Buffet,,BANQUETS,,45,1107.34,1260,,,
$3 Appetizer,,BANQUETS,,100,247.61,300,,,
$30 Buffet,,BANQUETS,,210,5766.88,6300,,,
$33 Buffet,,BANQUETS,,54,1616.48,1782,,,
$37 Ala Carte,,BANQUETS,,40,1447.55,1480,,,
$4 Appetizer,,BANQUETS,,40,145.96,160,,,
$4 Champagne Toast,,BANQUETS,,22,88,88,,,
$5 Mailing FEE,,GIFT CARD,,1,5,5,,,
$50 Ala Carte,,BANQUETS,,20,912.29,1000,,,
$6 Margarita,,,,8,40.86,48,,,
0 Proof Rum,,BEVERAGES,,1,8,8,1.35,6.65,6.65
0 Proof Whiskey,,BEVERAGES,,2,16,16,2.7,13.3,13.3
1800,Mix,LIQUOR,,6,60.7,64,,,
1800,DBL,LIQUOR,,2,20,20,,,
2 Room Suite,,HOTEL ROOMS,,20,4100,4100,,,
Absolut,Martini,LIQUOR,,30,423.76,432,90,333.76,342
Absolut,Mix,LIQUOR,,29,191.45,234.5,43.5,147.95,191
Absolut,DBL,LIQUOR,,8,67,72,15.2,51.8,56.8
Absolut,RX,LIQUOR,,2,24,24,4.8,19.2,19.2
Absolut Citron,Martini,LIQUOR,,67,952.39,996.5,,,
Absolut Citron,Mix,LIQUOR,,6,45,48,,,
Adult Brunch,,FOOD,,859,19920.39,20616,,,
Adult Grilled Cheese,,FOOD,,6,71,71,,,
Adult Pasta,,FOOD,,13,171,198,,,
Ala Vodka,Full,BANQUETS,,1,80,80,,,
Amaretto,Mix,LIQUOR,,1,0,6.5,1.5,0,5
Amaretto Di Sarona,Mix,LIQUOR,,6,60,60,9,51,51
Amaretto Di Sarona,RX,LIQUOR,,7,105,105,16.8,88.2,88.2
Amaretto Di Sarona,DBL,LIQUOR,,2,24,24,3.8,20.2,20.2
Amaretto Di Sarona,Shot,LIQUOR,,2,18,18,1.6,16.4,16.4
Amaro-Averno,,LIQUOR,,1,12,12,,,
Antipasto,,BANQUETS,,2,152.98,160,,,
Aperol Spritz,,LIQUOR,,10,89.28,103,,,
Apple Crisp,,FOOD,,218,1878.29,1964,,,
Apple Juice,,BEVERAGES,,14,43.4,43.4,,,
B&B,DBL,LIQUOR,,6,77,78,,,
BLT,,FOOD,,3,38.14,42,,,
Bacardi Rum,DBL,LIQUOR,,16,125,128,,,
Bacardi Rum,Mug Dbl,LIQUOR,,48,320.69,342,,,
Bacardi Rum,Mix,LIQUOR,,55,376.72,392,,,
Bacardi Rum,Shot,LIQUOR,,1,6,6,,,
Bailey's,RX,LIQUOR,,7,88.32,91,16.8,71.52,74.2
Bailey's,Mix,LIQUOR,,7,63,63,10.5,52.5,52.5
Bailey's,Shot,LIQUOR,,7,48,56,5.6,42.4,50.4
Bailey's,DBL,LIQUOR,,1,11,11,1.9,9.1,9.1
Baked Brie,,BANQUETS,,1,60,60,,,
Baked Potato,,FOOD,,737,0,0,,,
Bay Fries,,FOOD,,6,38.64,42,,,
Beefeater Gin,RX,LIQUOR,,1,13,13,,,
Beefeater Gin,Martini,LIQUOR,,21,345,345,,,
Beefeater Gin,Mix,LIQUOR,,16,140,146,,,
Beer Sample,,DFT BEER,,34,0,0,,,
Bison Burger,,FOOD,,213,3219.37,3433.75,1092.69,2126.68,2341.06
Black Berry Brandy,RX,LIQUOR,,10,72.96,80,,,
Black Berry Brandy,Mix,LIQUOR,,3,18,18,,,
Black Berry Brandy,Shot,LIQUOR,,11,60.5,60.5,,,
Blackberry Fizz,,BEVERAGES,,52,359.17,364,51.48,307.69,312.52
Blackberry Sour,,LIQUOR,,2,11,11,,,
Bombay Saphire,Martini,LIQUOR,,13,219,224,,,
Bombay Saphire,Mix,LIQUOR,,19,190,190,,,
Bombay Saphire,Mug Dbl,LIQUOR,,1,10,10,,,
Bombay Saphire,DBL,LIQUOR,,1,11,12,,,
Boom Boom Shrimp,,FOOD,,415,5473.65,6641.5,1992,3481.65,4649.5
Brandy Alexander,,LIQUOR,,2,14,14,,,
Bread Pudding,,FOOD,,157,1369.74,1413,,,
Brownie Sundae,,FOOD,,209,1739.68,1881,,,
Brunch Bloody,,LIQUOR,,115,452.21,460,,,
Brunch Mimosa,,GLASS WINE,,233,909.43,932,,,
Btl Blue Moon,,BTL BEER,,97,635.66,679,146.47,489.19,532.53
Btl Brut,,BOTTLE WINE,,12,321.83,348,147.48,174.35,200.52
Btl Collier Cab,,BOTTLE WINE,,11,291.84,308,91.19,200.65,216.81
Btl Collier Chard,,BOTTLE WINE,,7,181.59,196,55.79,125.8,140.21
Btl Corona,,BTL BEER,,77,465.21,539,112.42,352.79,426.58
Btl Corona Premier,,BTL BEER,,58,386.65,406,84.68,301.97,321.32
Btl Daou,,BOTTLE WINE,,27,787.79,864,324,463.79,540
Btl Flower,,BTL BEER,,53,200.37,371,91.69,108.68,279.31
Btl Merlot,,BOTTLE WINE,,6,192,192,67.56,124.44,124.44
Btl Michelob Ultra,,BTL BEER,,145,826.35,870,165.3,661.05,704.7
Btl Miller Lite,,BTL BEER,,428,2449.35,2568,547.84,1901.51,2020.16
Btl Muir Wood Chard,,BOTTLE WINE,,12,366.37,384,144,222.37,240
Btl Pessimist,,BOTTLE WINE,,9,256.69,270,99,157.69,171
Btl Pinot Grigo,,BOTTLE WINE,,12,327.11,360,144,183.11,216
Btl Pinot Noir,,BOTTLE WINE,,17,477.74,510,171.53,306.21,338.47
Btl Rose,,BOTTLE WINE,,7,176.64,196,60.97,115.67,135.03
Btl Sam Adams,,BTL BEER,,38,231.32,266,57.76,173.56,208.24
Btl Sav Blanc,,BOTTLE WINE,,24,570.42,672,216,354.42,456
Btl Stella,,BTL BEER,,7,41.44,42,,,
Btl Stella N/A,,BTL BEER,,65,429.47,455,96.85,332.62,358.15
Btl Yuengling,,BTL BEER,,1,6,6,1.26,4.74,4.74
Buffalo Chicken Sandwich,,FOOD,,1,15,15,,,
Bulleit Bourbon,DBL,LIQUOR,,15,175.95,180,,,
Bulleit Bourbon,RX,LIQUOR,,38,625.52,638,,,
