items,size,category,sku,quantity,net_sales,gross,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,,40,442.19,480,,,
$20 Bar Package,,BANQUETS,,47,888.53,940,,,
$22 Ala Carte,,BANQUETS,,227,3676.87,4994,,,
$25 Buffet,,BANQUETS,,540,11645.96,13500,,,
$27 Ala Carte,,BANQUETS,,22,336.1,594,,,
$3 Appetizer,,BANQUETS,,450,1226.57,1350,,,
$30 Buffet,,BANQUETS,,157,4243.79,4710,,,
$30 Sports Buffet,,BANQUETS,,71,1810.82,2130,,,
$37 Ala Carte,,BANQUETS,,63,1987.57,2331,,,
$4 Appetizer,,BANQUETS,,350,1328.74,1400,,,
$4 Champagne Toast,,BANQUETS,,58,201.78,232,,,
$40 Ala Carte,,BANQUETS,,15,499.03,600,,,
$45 Buffet,,BANQUETS,,69,2092.97,3105,,,
$5 Harp,,DFT BEER,,23,114.39,115,,,
$5 Mailing FEE,,GIFT CARD,,1,5,5,,,
$50 Ala Carte,,BANQUETS,,37,1850,1850,,,
$6 Guiness,,DFT BEER,,80,472.34,480,,,
$6 Irish Coffee,,LIQUOR,,2,12,12,,,
$8 Jameson Mix,,LIQUOR,,11,74.35,89,,,
0 Proof Whiskey,,BEVERAGES,,3,24,24,4.05,19.95,19.95
1800,Mix,LIQUOR,,6,60,62,,,
2 Room Suite,,HOTEL ROOMS,,6,1230,1230,,,
Absolut,Martini,LIQUOR,,30,423.96,436,90,333.96,346
Absolut,Mix,LIQUOR,,24,178.65,193,36,142.65,157
Absolut,RX,LIQUOR,,4,39.83,51,9.6,30.23,41.4
Absolut,DBL,LIQUOR,,5,44,45,9.5,34.5,35.5
Absolut Citron,Martini,LIQUOR,,79,1098.45,1168,,,
Absolut Citron,Shot,LIQUOR,,4,30,30,,,
Absolut Citron,Mix,LIQUOR,,2,16,16,,,
Absolut Citron,DBL,LIQUOR,,2,18,18,,,
Adult Brunch,,FOOD,,1002,22860.24,24048,,,
Adult Grilled Cheese,,FOOD,,10,94.26,113,,,
Adult Pasta,,FOOD,,16,195.78,276,,,
Amaretto,Mix,LIQUOR,,15,96.5,97.5,22.5,74,75
Amaretto Di Sarona,RX,LIQUOR,,1,15,15,2.4,12.6,12.6
Amaretto Di Sarona,Mix,LIQUOR,,7,70,70,10.5,59.5,59.5
Amaretto Di Sarona,DBL,LIQUOR,,1,12,12,1.9,10.1,10.1
Amaretto Di Sarona,Shot,LIQUOR,,1,9,9,0.8,8.2,8.2
Antipasto,,BANQUETS,,2,122.98,160,,,
Antipasto,Full,BANQUETS,,1,82.91,90,,,
Aperol Spritz,,LIQUOR,,11,102.98,110,,,
Apple Crisp,,FOOD,,223,1910.45,2011,,,
Apple Juice,,BEVERAGES,,19,57.94,58.9,,,
Apricot Sour,,LIQUOR,,2,12,12,,,
B&B,RX,LIQUOR,,2,31.04,34,,,
B&B,DBL,LIQUOR,,4,52,52,,,
BLT,,FOOD,,5,49.89,70,,,
BNI,,FOOD,,276,3665.28,3665.28,,,
Bacardi Rum,Mug Dbl,LIQUOR,,80,551.35,562,,,
Bacardi Rum,Mix,LIQUOR,,37,251.88,268,,,
Bacardi Rum,DBL,LIQUOR,,10,74.5,80,,,
Bailey's,Mix,LIQUOR,,18,156.27,162,27,129.27,135
Bailey's,Shot,LIQUOR,,8,64,64,6.4,57.6,57.6
Bailey's,DBL,LIQUOR,,3,33,33,5.7,27.3,27.3
Bailey's,RX,LIQUOR,,15,189.95,195,36,153.95,159
Bailey's,Martini,LIQUOR,,1,12.07,13,3,9.07,10
