month,staff,type,card_type,amount,tip,total
june,Take Out,Credit Card,Visa,50,0,50
june,Take Out,Credit Card,Amex,150,0,150
june,Take Out,Credit Card,Amex,200,0,200
june,AM Bar,Credit Card,Visa,53.48,12,65.48
june,Mackenzie W,Cash,,70.4,0,70.4
june,Take Out,Credit Card,Discover,28.62,2,30.62
june,Paul  W,Credit Card,Mastercard,56.27,15,71.27
june,Mackenzie W,Credit Card,Mastercard,78.44,15,93.44
june,Take Out,Credit Card,Mastercard,154.76,0,154.76
june,AM Bar,Cash,,99.48,0,99.48
june,AM Bar,Credit Card,Mastercard,52.85,11,63.85
june,Paul  W,Credit Card,Mastercard,59.63,12,71.63
june,Take Out,Credit Card,Visa,727.16,10,737.16
june,Take Out,Custom Tender,,150,0,150
june,Caroline S,Cash,,1082.5,0,1082.5
june,Andrew S,Cash,,93.96,0,93.96
june,Andrew S,Cash,,47.7,0,47.7
june,Take Out,Credit Card,Visa,38.16,5,43.16
june,Paul  W,Credit Card,Mastercard,133.25,30,163.25
june,KJ V,Cash,,5.5,0,5.5
june,Andrew S,Credit Card,Visa,79.5,0,79.5
june,Andrew S,Credit Card,Visa,39.75,8,47.75
june,Andrew S,Credit Card,Visa,39.75,10,49.75
june,Paul  W,Credit Card,Mastercard,33.92,6,39.92
june,KJ V,Cash,,8.25,0,8.25
june,Take Out,Credit Card,Mastercard,100,0,100
june,KJ V,Cash,,6.25,0,6.25
june,Paul  W,Credit Card,Discover,56.9,11,67.9
june,AM Bar,Credit Card,Visa,49.54,0,49.54
june,KJ V,Cash,,12,0,12
june,KJ V,Cash,,15,0,15
june,KJ V,Cash,,24.5,0,24.5
june,Paul  W,Credit Card,Visa,64.45,0,64.45
june,KJ V,Cash,,6.25,0,6.25
june,Mackenzie W,Credit Card,Mastercard,127.07,0,127.07
june,AM Bar,Credit Card,Mastercard,41.87,10,51.87
june,Andrew S,Credit Card,Visa,19.08,4,23.08
june,Paul  W,Credit Card,Visa,49.61,12,61.61
june,Mackenzie W,Credit Card,Amex,205.16,41,246.16
june,KJ V,Cash,,15,0,15
june,KJ V,Cash,,8,0,8
june,KJ V,Cash,,8.25,0,8.25
june,Take Out,Credit Card,Mastercard,150,0,150
june,KJ V,Cash,,5,0,5
june,Take Out,Credit Card,Visa,158.39,0,158.39
june,Paul  W,Credit Card,Visa,64.45,14,78.45
june,KJ V,Cash,,15,0,15
june,Andrew S,Credit Card,Discover,62.64,15,77.64
june,Paul  W,Credit Card,Mastercard,133.51,26,159.51
june,Take Out,Credit Card,Visa,123.18,0,123.18
june,KJ V,Cash,,9.5,0,9.5
june,AM Bar,Credit Card,Visa,67.04,13,80.04
june,AM Bar,Cash,,77.38,0,77.38
june,KJ V,Credit Card,Visa,12,2,14
june,Mackenzie W,Credit Card,Mastercard,57.29,0,57.29
june,Paul  W,Credit Card,Visa,28.9,6,34.9
june,Paul  W,Credit Card,Mastercard,28.9,6,34.9
june,AM Bar,Credit Card,Visa,90.66,30,120.66
june,KJ V,Credit Card,Mastercard,15,3,18
june,KJ V,Cash,,24,0,24
june,Clay  R,Cash,,6,0,6
june,Clay  R,Credit Card,Mastercard,682.8,0,682.8
june,Andrew S,Credit Card,Mastercard,226.55,0,226.55
june,KJ V,Cash,,12,0,12
june,KJ V,Cash,,15,0,15
june,AM Bar,Cash,,53.02,0,53.02
june,Take Out,Credit Card,Visa,310.8,0,310.8
june,KJ V,Cash,,5,0,5
june,Wall Bar,Cash,,58.5,0,58.5
june,Clay  R,Credit Card,Amex,48.66,10,58.66
june,Linda B,Credit Card,Visa,1101.94,0,1101.94
june,Andrew S,Credit Card,Visa,73.46,0,73.46
june,KJ V,Credit Card,Visa,71,15,86
june,Wall Bar,Credit Card,Mastercard,63.48,14,77.48
june,KJ V,Cash,,900,0,900
june,KJ V,Credit Card,Visa,881.28,0,881.28
june,Mackenzie W,Credit Card,Visa,87.38,0,87.38
june,Wall Bar,Credit Card,Visa,10,2,12
june,Take Out,Credit Card,Visa,22.26,0,22.26
june,Mackenzie W,Credit Card,Visa,43.46,8,51.46
june,Take Out,Credit Card,Visa,49.56,7,56.56
june,Mackenzie W,Credit Card,Mastercard,71.94,0,71.94
june,PM Bar,Credit Card,Visa,41.96,8,49.96
june,Jamie S,Gift Card,,26.5,0,26.5
june,Take Out,Credit Card,Visa,28.62,0,28.62
june,Jean P,Cash,,56.18,0,56.18
june,Take Out,Credit Card,Visa,49.82,15,64.82
june,Jean P,Cash,,71.21,0,71.21
june,Wall Bar,Credit Card,Visa,66.44,5,71.44
june,Nick  D,Credit Card,Amex,55.22,12,67.22
june,Wall Bar,Cash,,57.4,0,57.4
june,Clay  R,Credit Card,Visa,109.3,20,129.3
june,Keira Heinzmann,Cash,,-80,0,-80
june,Take Out,Credit Card,Visa,26.5,7,33.5
june,Heather C,Credit Card,Visa,136.2,27,163.2
june,Clay  R,Cash,,48.76,0,48.76
june,Heather C,Credit Card,Visa,101.11,15,116.11
june,Take Out,Credit Card,Visa,95.4,5,100.4
june,PM Bar,Cash,,17,0,17
june,PM Bar,Credit Card,Visa,142.61,0,142.61
june,Wall Bar,Cash,,10,0,10
june,Take Out,Credit Card,Visa,44.52,5,49.52
june,PM Bar,Credit Card,Visa,84.22,16,100.22
june,Take Out,Credit Card,Mastercard,48.76,0,48.76
june,Brianna  K,Credit Card,Visa,135.41,24.59,160
june,PM Bar,Credit Card,Visa,17,4,21
june,Nick  D,Credit Card,Visa,84.5,16.5,101
june,Jamie S,Cash,,67.31,0,67.31
june,Jean P,Credit Card,Mastercard,85.54,20,105.54
june,Take Out,Cash,,23.32,0,23.32
june,Take Out,Credit Card,Visa,54.06,0,54.06
june,Mackenzie W,Gift Card,,30,0,30
june,Mackenzie W,Credit Card,Visa,93.3,25,118.3
june,Wall Bar,Credit Card,Visa,77.85,20,97.85
june,Jamie S,Credit Card,Mastercard,72.45,0,72.45
june,Jean P,Credit Card,Amex,100.06,20,120.06
june,Brianna  K,Credit Card,Visa,201.21,50,251.21
june,Heather C,Credit Card,Visa,122.1,24,146.1
june,PM Bar,Credit Card,Visa,50.98,0,50.98
june,Jean P,Gift Card,,100,0,100
june,Jean P,Cash,,30.28,0,30.28
june,Jean P,Cash,,100,0,100
june,Jean P,Credit Card,Visa,58.37,30,88.37
june,Clay  R,Cash,,64.72,0,64.72
june,Linda B,Cash,,99.78,0,99.78
june,Heather C,Credit Card,Visa,78.32,16,94.32
june,PM Bar,Cash,,24,0,24
june,PM Bar,Credit Card,Mastercard,34.26,20,54.26
june,Mackenzie W,Credit Card,Visa,72.07,14,86.07
june,Linda B,Credit Card,Mastercard,72.52,20,92.52
june,Take Out,Credit Card,Visa,58.3,0,58.3
june,Jen V,Credit Card,Visa,903.99,50,953.99
june,Linda B,Credit Card,Mastercard,89.46,17,106.46
june,Jamie S,Credit Card,Visa,89.04,11,100.04
june,Andrew S,Credit Card,Mastercard,82.84,16,98.84
june,PM Bar,Credit Card,Visa,97.43,20,117.43
june,Linda B,Credit Card,Amex,59.72,11,70.72
june,Jean P,Credit Card,Mastercard,93.94,0,93.94
june,Nick  D,Cash,,127.06,0,127.06
june,Jean P,Credit Card,Visa,75.65,20,95.65
june,Mackenzie W,Credit Card,Mastercard,110.22,22,132.22
june,Mackenzie W,Credit Card,Visa,79.88,16,95.88
june,Brianna  K,Credit Card,Visa,101.96,21.04,123
june,Clay  R,Cash,,100.68,0,100.68
june,Linda B,Credit Card,Visa,75.74,0,75.74
june,Linda B,Credit Card,Visa,76.32,16,92.32
june,Take Out,Credit Card,Visa,110.24,10,120.24
june,Clay  R,Credit Card,Mastercard,265.61,50,315.61
june,Mackenzie W,Credit Card,Mastercard,95.36,20,115.36
june,PM Bar,Credit Card,Mastercard,22.84,0,22.84
june,Clay  R,Credit Card,Mastercard,275.7,50,325.7
june,PM Bar,Credit Card,Visa,60.52,12,72.52
june,Linda B,Cash,,108.4,0,108.4
june,Jean P,Credit Card,Visa,72.52,0,72.52
june,Linda B,Credit Card,Visa,99.07,20,119.07
june,PM Bar,Credit Card,Visa,28.18,6,34.18
june,Nick  D,Credit Card,Visa,68.34,14,82.34
june,Take Out,Credit Card,Mastercard,40.28,0,40.28
june,Clay  R,Cash,,62.81,0,62.81
june,Clay  R,Credit Card,Visa,48.06,10,58.06
june,Andrew S,Credit Card,Visa,135.16,26,161.16
june,Andrew S,Credit Card,Mastercard,164.31,32,196.31
june,Wall Bar,Credit Card,Mastercard,72.18,15,87.18
june,Jamie S,Credit Card,Visa,103.98,40,143.98
june,Wall Bar,Credit Card,Mastercard,135.52,25,160.52
june,PM Bar,Credit Card,Mastercard,42.7,9.3,52
june,Wall Bar,Credit Card,Visa,123.54,0,123.54
june,Jen V,Credit Card,Visa,144.36,200,344.36
june,Nick  D,Credit Card,Mastercard,64.45,13,77.45
june,Brianna  K,Credit Card,Visa,68.8,12,80.8
june,Clay  R,Credit Card,Amex,46.1,10,56.1
june,PM Bar,Credit Card,Discover,27.23,6,33.23
june,PM Bar,Credit Card,Mastercard,84.36,20,104.36
june,Andrew S,Credit Card,Visa,83.2,20,103.2
june,Jean P,Credit Card,Visa,126.82,27,153.82
june,PM Bar,Credit Card,Mastercard,39.54,10,49.54
june,Wall Bar,Credit Card,Visa,57.42,20,77.42
june,Jean P,Gift Card,,84.44,0,84.44
june,Brianna  K,Gift Card,,75,0,75
june,Brianna  K,Credit Card,Mastercard,120,50,170
june,Brianna  K,Credit Card,Visa,73.62,0,73.62
june,Jean P,Credit Card,Visa,81.18,17,98.18
june,Nick  D,Credit Card,Amex,321.27,100,421.27
june,PM Bar,Cash,,13,0,13
june,Wall Bar,Cash,,19,0,19
june,Jamie S,Credit Card,Visa,78.72,15,93.72
june,Jamie S,Credit Card,Visa,78.72,15,93.72
june,Heather C,Credit Card,Visa,360.16,70,430.16
june,Wall Bar,Credit Card,Visa,94.66,0,94.66
june,Andrew S,Gift Card,,35,0,35
june,Andrew S,Credit Card,Visa,21.18,11,32.18
june,Jamie S,Credit Card,Discover,100.68,0,100.68
june,Mackenzie W,Credit Card,Amex,64.66,13.34,78
june,Jean P,Credit Card,Mastercard,88.41,21,109.41
june,Linda B,Credit Card,Visa,61.16,13,74.16
june,Andrew S,Credit Card,Visa,143.7,36,179.7
june,Wall Bar,Credit Card,Visa,21.75,3,24.75
june,PM Bar,Cash,,50.6,0,50.6
june,Heather C,Gift Card,,50,0,50
june,Andrew S,Credit Card,Mastercard,100.36,20,120.36
june,Heather C,Credit Card,Visa,134.75,36,170.75
june,Andrew S,Credit Card,Visa,100.36,25,125.36
june,Mackenzie W,Credit Card,Visa,209.79,41,250.79
june,Brianna  K,Cash,,7.42,0,7.42
june,Mackenzie W,Cash,,172.36,0,172.36
june,Take Out,Credit Card,Visa,6.89,0,6.89
june,Mackenzie W,Credit Card,Amex,93.83,25,118.83
june,Linda B,Credit Card,Mastercard,25.44,5,30.44
june,Mackenzie W,Credit Card,Visa,93.83,20,113.83
june,Jean P,Credit Card,Visa,147.16,0,147.16
june,Clay  R,Credit Card,Visa,142.49,27.51,170
june,Linda B,Credit Card,Visa,40.46,8,48.46
june,PM Bar,Cash,,101.52,0,101.52
june,Linda B,Credit Card,Visa,40.46,10,50.46
june,Linda B,Credit Card,Visa,39.67,0,39.67
june,Linda B,Cash,,0.67,0,0.67
june,Jamie S,Cash,,78.35,0,78.35
june,Jamie S,Cash,,4.77,0,4.77
june,Mackenzie W,Cash,,74.4,0,74.4
june,Jamie S,Cash,,95.03,0,95.03
june,Wall Bar,Credit Card,Visa,94.62,20,114.62
june,Brianna  K,Credit Card,Visa,82,17,99
june,Jean P,Credit Card,Visa,60,11,71
